cost,timestamp,symbol,datetime,type,amount,price
22.55421,1710605405724,DOGE/USDT,2024-03-16T16:10:05.724Z,limit,147.0,0.15343
119.82883,1710605407321,DOGE/USDT,2024-03-16T16:10:07.321Z,limit,781.0,0.15343
1088.00766,1710605416289,DOGE/USDT,2024-03-16T16:10:16.289Z,limit,7082.0,0.15363
1279.83925,1710605418892,DOGE/USDT,2024-03-16T16:10:18.892Z,limit,8335.0,0.15355
121.45014,1710605429884,DOGE/USDT,2024-03-16T16:10:29.884Z,limit,791.0,0.15354
744.1434,1710605445177,DOGE/USDT,2024-03-16T16:10:45.177Z,limit,4851.0,0.1534
341.75028,1710605462570,DOGE/USDT,2024-03-16T16:11:02.570Z,limit,2229.0,0.15332
312.00222,1710605487314,DOGE/USDT,2024-03-16T16:11:27.314Z,limit,2031.0,0.15362
126.12202,1710605490461,DOGE/USDT,2024-03-16T16:11:30.461Z,limit,821.0,0.15362
153.79364,1710605491534,DOGE/USDT,2024-03-16T16:11:31.534Z,limit,1001.0,0.15364
1038.285,1710605499974,DOGE/USDT,2024-03-16T16:11:39.974Z,limit,6750.0,0.15382
711.75636,1710605505727,DOGE/USDT,2024-03-16T16:11:45.727Z,limit,4626.0,0.15386
154.7731,1710605513625,DOGE/USDT,2024-03-16T16:11:53.625Z,limit,1006.0,0.15385
254.50098,1710605514149,DOGE/USDT,2024-03-16T16:11:54.149Z,limit,1654.0,0.15387
35.77482,1710605548406,DOGE/USDT,2024-03-16T16:12:28.406Z,limit,233.0,0.15354
666.67068,1710605549974,DOGE/USDT,2024-03-16T16:12:29.974Z,limit,4342.0,0.15354
707.97294,1710605552596,DOGE/USDT,2024-03-16T16:12:32.596Z,limit,4611.0,0.15354
7.6805,1710605556507,DOGE/USDT,2024-03-16T16:12:36.507Z,limit,50.0,0.15361
995.06151,1710605562136,DOGE/USDT,2024-03-16T16:12:42.136Z,limit,6477.0,0.15363
1287.32125,1710605579020,DOGE/USDT,2024-03-16T16:12:59.020Z,limit,8375.0,0.15371
193.25118,1710605587428,DOGE/USDT,2024-03-16T16:13:07.428Z,limit,1257.0,0.15374
511.5388,1710605590192,DOGE/USDT,2024-03-16T16:13:10.192Z,limit,3326.0,0.1538
39.988,1710605596330,DOGE/USDT,2024-03-16T16:13:16.330Z,limit,260.0,0.1538
996.4702,1710605598998,DOGE/USDT,2024-03-16T16:13:18.998Z,limit,6479.0,0.1538
577.02008,1710605604243,DOGE/USDT,2024-03-16T16:13:24.243Z,limit,3752.0,0.15379
1033.93017,1710605611115,DOGE/USDT,2024-03-16T16:13:31.115Z,limit,6723.0,0.15379
289.2568,1710605616884,DOGE/USDT,2024-03-16T16:13:36.884Z,limit,1880.0,0.15386
625.90248,1710605618998,DOGE/USDT,2024-03-16T16:13:38.998Z,limit,4068.0,0.15386
9.84576,1710605624043,DOGE/USDT,2024-03-16T16:13:44.043Z,market,64.0,0.15384
1132.10188,1710605629030,DOGE/USDT,2024-03-16T16:13:49.030Z,limit,7358.0,0.15386
1154.85788,1710605632798,DOGE/USDT,2024-03-16T16:13:52.798Z,limit,7502.0,0.15394
266.47014,1710605642300,DOGE/USDT,2024-03-16T16:14:02.300Z,limit,1731.0,0.15394
45.4123,1710605643912,DOGE/USDT,2024-03-16T16:14:03.912Z,limit,295.0,0.15394
706.9384,1710605654056,DOGE/USDT,2024-03-16T16:14:14.056Z,limit,4592.0,0.15395
1311.98088,1710605659833,DOGE/USDT,2024-03-16T16:14:19.833Z,limit,8526.0,0.15388
711.54112,1710605662219,DOGE/USDT,2024-03-16T16:14:22.219Z,limit,4624.0,0.15388
438.83724,1710605669405,DOGE/USDT,2024-03-16T16:14:29.405Z,limit,2852.0,0.15387
870.5307,1710605680431,DOGE/USDT,2024-03-16T16:14:40.431Z,limit,5655.0,0.15394
818.1911,1710605681456,DOGE/USDT,2024-03-16T16:14:41.456Z,limit,5315.0,0.15394
563.99952,1710605681997,DOGE/USDT,2024-03-16T16:14:41.997Z,limit,3664.0,0.15393
114.32541,1710605687759,DOGE/USDT,2024-03-16T16:14:47.759Z,limit,743.0,0.15387
941.7456,1710605693576,DOGE/USDT,2024-03-16T16:14:53.576Z,limit,6120.0,0.15388
470.56401,1710605694121,DOGE/USDT,2024-03-16T16:14:54.121Z,limit,3057.0,0.15393
850.57375,1710605695688,DOGE/USDT,2024-03-16T16:14:55.688Z,limit,5525.0,0.15395
756.2024,1710605700923,DOGE/USDT,2024-03-16T16:15:00.923Z,limit,4912.0,0.15395
84.35912,1710605702014,DOGE/USDT,2024-03-16T16:15:02.014Z,limit,548.0,0.15394
195.3387,1710605734188,DOGE/USDT,2024-03-16T16:15:34.188Z,limit,1270.0,0.15381
994.9392,1710605740651,DOGE/USDT,2024-03-16T16:15:40.651Z,limit,6480.0,0.15354
708.41752,1710605744345,DOGE/USDT,2024-03-16T16:15:44.345Z,limit,4616.0,0.15347
