type,cost,timestamp,amount,price,symbol,datetime
,215.400619,1710827284096,1642.9,0.13111,DOGE/USDT,2024-03-19T05:48:04.096Z
,108.388637,1710827284105,826.7,0.13111,DOGE/USDT,2024-03-19T05:48:04.105Z
,98.624952,1710827286066,751.6,0.13122,DOGE/USDT,2024-03-19T05:48:06.066Z
,33.81,1710827287567,257.6,0.13125,DOGE/USDT,2024-03-19T05:48:07.567Z
,253.394206,1710827288586,1931.8,0.13117,DOGE/USDT,2024-03-19T05:48:08.586Z
,19.306752,1710827288597,147.2,0.13116,DOGE/USDT,2024-03-19T05:48:08.597Z
,1072.42974,1710827288606,8176.5,0.13116,DOGE/USDT,2024-03-19T05:48:08.606Z
,22.074228,1710827288660,168.3,0.13116,DOGE/USDT,2024-03-19T05:48:08.660Z
,519.641964,1710827289576,3962.8,0.13113,DOGE/USDT,2024-03-19T05:48:09.576Z
,166.180608,1710827290578,1267.2,0.13114,DOGE/USDT,2024-03-19T05:48:10.578Z
,460.043379,1710827291066,3508.3,0.13113,DOGE/USDT,2024-03-19T05:48:11.066Z
,206.847122,1710827291085,1577.3,0.13114,DOGE/USDT,2024-03-19T05:48:11.085Z
,770.40236,1710827291565,5876.0,0.13111,DOGE/USDT,2024-03-19T05:48:11.565Z
,408.328984,1710827292199,3114.4,0.13111,DOGE/USDT,2024-03-19T05:48:12.199Z
,462.16275,1710827292199,3525.0,0.13111,DOGE/USDT,2024-03-19T05:48:12.199Z
,32.99787,1710827292199,251.7,0.1311,DOGE/USDT,2024-03-19T05:48:12.199Z
,1.48143,1710827292199,11.3,0.1311,DOGE/USDT,2024-03-19T05:48:12.199Z
,74.9892,1710827292199,572.0,0.1311,DOGE/USDT,2024-03-19T05:48:12.199Z
,162.461976,1710827293083,1239.6,0.13106,DOGE/USDT,2024-03-19T05:48:13.083Z
,286.807374,1710827293092,2188.2,0.13107,DOGE/USDT,2024-03-19T05:48:13.092Z
,463.280022,1710827294066,3534.6,0.13107,DOGE/USDT,2024-03-19T05:48:14.066Z
,0.49799,1710827295504,3.8,0.13105,DOGE/USDT,2024-03-19T05:48:15.504Z
,0.746871,1710827295505,5.7,0.13103,DOGE/USDT,2024-03-19T05:48:15.505Z
,2.541982,1710827295505,19.4,0.13103,DOGE/USDT,2024-03-19T05:48:15.505Z
,1.415124,1710827295505,10.8,0.13103,DOGE/USDT,2024-03-19T05:48:15.505Z
,121.079442,1710827295611,924.2,0.13101,DOGE/USDT,2024-03-19T05:48:15.611Z
,0.366828,1710827295998,2.8,0.13101,DOGE/USDT,2024-03-19T05:48:15.998Z
,0.2489,1710827295998,1.9,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,3.8514,1710827295998,29.4,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,20.0561,1710827295998,153.1,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,6.4452,1710827295998,49.2,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,99.9923,1710827295998,763.3,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,99.9923,1710827295998,763.3,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,9.9953,1710827295998,76.3,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,167.0381,1710827295998,1275.1,0.131,DOGE/USDT,2024-03-19T05:48:15.998Z
,482.9577,1710827296204,3686.7,0.131,DOGE/USDT,2024-03-19T05:48:16.204Z
,398.6592,1710827296205,3043.2,0.131,DOGE/USDT,2024-03-19T05:48:16.205Z
,2228.2183,1710827296205,17009.3,0.131,DOGE/USDT,2024-03-19T05:48:16.205Z
,29.0034,1710827296577,221.4,0.131,DOGE/USDT,2024-03-19T05:48:16.577Z
,281.8072,1710827296586,2151.2,0.131,DOGE/USDT,2024-03-19T05:48:16.586Z
,3109.8352,1710827297337,23739.2,0.131,DOGE/USDT,2024-03-19T05:48:17.337Z
,2553.9629,1710827297337,19495.9,0.131,DOGE/USDT,2024-03-19T05:48:17.337Z
,3109.8352,1710827298057,23739.2,0.131,DOGE/USDT,2024-03-19T05:48:18.057Z
,498.1275,1710827298057,3802.5,0.131,DOGE/USDT,2024-03-19T05:48:18.057Z
,1.846959,1710827298057,14.1,0.13099,DOGE/USDT,2024-03-19T05:48:18.057Z
,0.681148,1710827298057,5.2,0.13099,DOGE/USDT,2024-03-19T05:48:18.057Z
,199.995532,1710827298057,1526.8,0.13099,DOGE/USDT,2024-03-19T05:48:18.057Z
,0.222649,1710827298057,1.7,0.13097,DOGE/USDT,2024-03-19T05:48:18.057Z
,19.641,1710827299589,150.0,0.13094,DOGE/USDT,2024-03-19T05:48:19.589Z
,0.248767,1710827299589,1.9,0.13093,DOGE/USDT,2024-03-19T05:48:19.589Z
,61.895338,1710827300588,472.7,0.13094,DOGE/USDT,2024-03-19T05:48:20.588Z
,361.119426,1710827300661,2757.9,0.13094,DOGE/USDT,2024-03-19T05:48:20.661Z
,1084.37076,1710827301567,8280.8,0.13095,DOGE/USDT,2024-03-19T05:48:21.567Z
,264.244005,1710827301577,2017.9,0.13095,DOGE/USDT,2024-03-19T05:48:21.577Z
,1.400844,1710827302148,10.7,0.13092,DOGE/USDT,2024-03-19T05:48:22.148Z
,0.183274,1710827302148,1.4,0.13091,DOGE/USDT,2024-03-19T05:48:22.148Z
