amount,symbol,datetime,type,timestamp,cost,price
1078.0,DOGE/USDT,2024-03-21T23:16:01.093Z,,1711062961093,166.24916,0.15422
542.3,DOGE/USDT,2024-03-21T23:16:01.150Z,,1711062961150,83.633506,0.15422
572.0,DOGE/USDT,2024-03-21T23:16:01.576Z,,1711062961576,88.21384,0.15422
594.5,DOGE/USDT,2024-03-21T23:16:01.595Z,,1711062961595,91.68379,0.15422
307.9,DOGE/USDT,2024-03-21T23:16:01.648Z,,1711062961648,47.484338,0.15422
223.6,DOGE/USDT,2024-03-21T23:16:02.075Z,,1711062962075,34.483592,0.15422
475.1,DOGE/USDT,2024-03-21T23:16:02.145Z,,1711062962145,73.269922,0.15422
244.2,DOGE/USDT,2024-03-21T23:16:02.169Z,,1711062962169,37.660524,0.15422
122.8,DOGE/USDT,2024-03-21T23:16:05.581Z,,1711062965581,18.938216,0.15422
549.4,DOGE/USDT,2024-03-21T23:16:05.596Z,,1711062965596,84.728468,0.15422
248.4,DOGE/USDT,2024-03-21T23:16:05.645Z,,1711062965645,38.308248,0.15422
257.5,DOGE/USDT,2024-03-21T23:16:07.566Z,,1711062967566,39.71165,0.15422
116.7,DOGE/USDT,2024-03-21T23:16:07.576Z,,1711062967576,17.997474,0.15422
58.3,DOGE/USDT,2024-03-21T23:16:09.061Z,,1711062969061,8.991026,0.15422
374.0,DOGE/USDT,2024-03-21T23:16:09.576Z,,1711062969576,57.67828,0.15422
204.3,DOGE/USDT,2024-03-21T23:16:09.588Z,,1711062969588,31.507146,0.15422
97.7,DOGE/USDT,2024-03-21T23:16:10.062Z,,1711062970062,15.067294,0.15422
295.8,DOGE/USDT,2024-03-21T23:16:10.576Z,,1711062970576,45.618276,0.15422
155.2,DOGE/USDT,2024-03-21T23:16:11.061Z,,1711062971061,23.934944,0.15422
371.2,DOGE/USDT,2024-03-21T23:16:11.582Z,,1711062971582,57.246464,0.15422
1047.9,DOGE/USDT,2024-03-21T23:16:12.065Z,,1711062972065,161.607138,0.15422
301.7,DOGE/USDT,2024-03-21T23:16:12.077Z,,1711062972077,46.528174,0.15422
3020.9,DOGE/USDT,2024-03-21T23:16:12.086Z,,1711062972086,465.883198,0.15422
425.8,DOGE/USDT,2024-03-21T23:16:12.096Z,,1711062972096,65.666876,0.15422
652.1,DOGE/USDT,2024-03-21T23:16:12.105Z,,1711062972105,100.566862,0.15422
490.6,DOGE/USDT,2024-03-21T23:16:13.567Z,,1711062973567,75.660332,0.15422
633.4,DOGE/USDT,2024-03-21T23:16:13.575Z,,1711062973575,97.682948,0.15422
