cost,price,amount,type,datetime,timestamp,symbol
5.4545324816,0.164936,33.0706,,2024-03-23T11:17:09.000Z,1711192629000,DOGE/USDT
241.252905258,0.16494,1462.6707,,2024-03-23T11:17:10.000Z,1711192630000,DOGE/USDT
96.593869617,0.164937,585.641,,2024-03-23T11:17:10.000Z,1711192630000,DOGE/USDT
176.1124965085,0.164935,1067.7691,,2024-03-23T11:17:11.000Z,1711192631000,DOGE/USDT
453.5020121276,0.164938,2749.5302,,2024-03-23T11:17:11.000Z,1711192631000,DOGE/USDT
338.650512647,0.164935,2053.2362,,2024-03-23T11:17:12.000Z,1711192632000,DOGE/USDT
486.5406134901,0.164937,2949.8573,,2024-03-23T11:17:12.000Z,1711192632000,DOGE/USDT
554.0586024592,0.164939,3359.1728,,2024-03-23T11:17:13.000Z,1711192633000,DOGE/USDT
496.8947588452,0.164938,3012.6154,,2024-03-23T11:17:13.000Z,1711192633000,DOGE/USDT
173.4276557484,0.164938,1051.4718,,2024-03-23T11:17:14.000Z,1711192634000,DOGE/USDT
3.955805502,0.16494,23.9833,,2024-03-23T11:17:14.000Z,1711192634000,DOGE/USDT
2.5978492712,0.164947,15.7496,,2024-03-23T11:17:14.000Z,1711192634000,DOGE/USDT
53.900167944,0.164955,326.7568,,2024-03-23T11:17:14.000Z,1711192634000,DOGE/USDT
371.1258570474,0.164958,2249.8203,,2024-03-23T11:17:14.000Z,1711192634000,DOGE/USDT
688.3325854584,0.164958,4172.7748,,2024-03-23T11:17:15.000Z,1711192635000,DOGE/USDT
316.2214456137,0.164943,1917.1559,,2024-03-23T11:17:15.000Z,1711192635000,DOGE/USDT
135.0397923176,0.164959,818.6264,,2024-03-23T11:17:16.000Z,1711192636000,DOGE/USDT
499.1472534858,0.164958,3025.9051,,2024-03-23T11:17:16.000Z,1711192636000,DOGE/USDT
492.2936526726,0.164973,2984.0862,,2024-03-23T11:17:17.000Z,1711192637000,DOGE/USDT
329.3366714981,0.164969,1996.3549,,2024-03-23T11:17:18.000Z,1711192638000,DOGE/USDT
418.966610993,0.164962,2539.7765,,2024-03-23T11:17:18.000Z,1711192638000,DOGE/USDT
290.9232756882,0.164979,1763.3958,,2024-03-23T11:17:18.000Z,1711192638000,DOGE/USDT
6.5428776162,0.164958,39.6639,,2024-03-23T11:17:19.000Z,1711192639000,DOGE/USDT
487.25461455,0.16494,2954.1325,,2024-03-23T11:17:19.000Z,1711192639000,DOGE/USDT
190.523022032,0.164947,1155.056,,2024-03-23T11:17:19.000Z,1711192639000,DOGE/USDT
540.6333685792,0.164951,3277.5392,,2024-03-23T11:17:20.000Z,1711192640000,DOGE/USDT
112.829901492,0.164945,684.0456,,2024-03-23T11:17:20.000Z,1711192640000,DOGE/USDT
143.0795871234,0.164946,867.4329,,2024-03-23T11:17:21.000Z,1711192641000,DOGE/USDT
531.061408512,0.16494,3219.7248,,2024-03-23T11:17:21.000Z,1711192641000,DOGE/USDT
551.610207008,0.164941,3344.288,,2024-03-23T11:17:22.000Z,1711192642000,DOGE/USDT
81.6093098912,0.164944,494.7698,,2024-03-23T11:17:22.000Z,1711192642000,DOGE/USDT
284.33376608,0.164944,1723.82,,2024-03-23T11:17:23.000Z,1711192643000,DOGE/USDT
49.931065644,0.16494,302.7226,,2024-03-23T11:17:23.000Z,1711192643000,DOGE/USDT
476.954573382,0.16494,2891.6853,,2024-03-23T11:17:23.000Z,1711192643000,DOGE/USDT
410.4645130985,0.164915,2488.9459,,2024-03-23T11:17:23.000Z,1711192643000,DOGE/USDT
493.8086248889,0.164891,2994.7579,,2024-03-23T11:17:24.000Z,1711192644000,DOGE/USDT
286.9786857659,0.164921,1740.0979,,2024-03-23T11:17:24.000Z,1711192644000,DOGE/USDT
145.4282303756,0.164917,881.8268,,2024-03-23T11:17:25.000Z,1711192645000,DOGE/USDT
539.9290067598,0.164919,3273.9042,,2024-03-23T11:17:25.000Z,1711192645000,DOGE/USDT
382.4851810725,0.164889,2319.6525,,2024-03-23T11:17:26.000Z,1711192646000,DOGE/USDT
448.0605243264,0.164928,2716.7038,,2024-03-23T11:17:26.000Z,1711192646000,DOGE/USDT
291.615157471,0.16493,1768.1147,,2024-03-23T11:17:27.000Z,1711192647000,DOGE/USDT
324.6214141272,0.164919,1968.3688,,2024-03-23T11:17:27.000Z,1711192647000,DOGE/USDT
628.617698829,0.164895,3812.2302,,2024-03-23T11:17:28.000Z,1711192648000,DOGE/USDT
327.8537010189,0.164907,1988.1127,,2024-03-23T11:17:28.000Z,1711192648000,DOGE/USDT
508.4670556086,0.164901,3083.4686,,2024-03-23T11:17:29.000Z,1711192649000,DOGE/USDT
347.1011954316,0.164916,2104.7151,,2024-03-23T11:17:29.000Z,1711192649000,DOGE/USDT
303.034295358,0.16491,1837.5738,,2024-03-23T11:17:30.000Z,1711192650000,DOGE/USDT
