cost,timestamp,price,amount,type,datetime,symbol
19.6620984,1711059734000,0.15414,127.56,,2024-03-21T22:22:14.000Z,DOGE/USD
21.93474,1711059761000,0.15447,142.0,,2024-03-21T22:22:41.000Z,DOGE/USD
19.986974,1711059774000,0.15428,129.55,,2024-03-21T22:22:54.000Z,DOGE/USD
20.005111,1711059791000,0.15442,129.55,,2024-03-21T22:23:11.000Z,DOGE/USD
19.965508,1711059879000,0.15415,129.52,,2024-03-21T22:24:39.000Z,DOGE/USD
20.015655,1711060046000,0.15486,129.25,,2024-03-21T22:27:26.000Z,DOGE/USD
78.9929922,1711060046000,0.15487,510.06,,2024-03-21T22:27:26.000Z,DOGE/USD
388.3960108,1711060067000,0.15484,2508.37,,2024-03-21T22:27:47.000Z,DOGE/USD
24.9131952,1711060354000,0.15408,161.69,,2024-03-21T22:32:34.000Z,DOGE/USD
664.4837889,1711060423000,0.15399,4315.11,,2024-03-21T22:33:43.000Z,DOGE/USD
674.38089,1711060773000,0.15471,4359.0,,2024-03-21T22:39:33.000Z,DOGE/USD
19.9647104,1711060846000,0.15443,129.28,,2024-03-21T22:40:46.000Z,DOGE/USD
528.5240948,1711061257000,0.15431,3425.08,,2024-03-21T22:47:37.000Z,DOGE/USD
538.5328536,1711061259000,0.15428,3490.62,,2024-03-21T22:47:39.000Z,DOGE/USD
582.5575749,1711061263000,0.15421,3777.69,,2024-03-21T22:47:43.000Z,DOGE/USD
1429.4079583,1711061263000,0.15421,9269.23,,2024-03-21T22:47:43.000Z,DOGE/USD
1682.6223204,1711061263000,0.15421,10911.24,,2024-03-21T22:47:43.000Z,DOGE/USD
558.8076654,1711061267000,0.15417,3624.62,,2024-03-21T22:47:47.000Z,DOGE/USD
1522.949442,1711061269000,0.15414,9880.3,,2024-03-21T22:47:49.000Z,DOGE/USD
1231.247199,1711061269000,0.15414,7987.85,,2024-03-21T22:47:49.000Z,DOGE/USD
501.6958584,1711061270000,0.15411,3255.44,,2024-03-21T22:47:50.000Z,DOGE/USD
1565.4385923,1711061270000,0.15411,10157.93,,2024-03-21T22:47:50.000Z,DOGE/USD
861.8124009,1711061270000,0.15411,5592.19,,2024-03-21T22:47:50.000Z,DOGE/USD
19.4474231,1711061283000,0.15421,126.11,,2024-03-21T22:48:03.000Z,DOGE/USD
543.2850766,1711061283000,0.15442,3518.23,,2024-03-21T22:48:03.000Z,DOGE/USD
928.7297502,1711061283000,0.15442,6014.31,,2024-03-21T22:48:03.000Z,DOGE/USD
724.9014519,1711061300000,0.15437,4695.87,,2024-03-21T22:48:20.000Z,DOGE/USD
611.466786,1711061317000,0.15435,3961.56,,2024-03-21T22:48:37.000Z,DOGE/USD
843.437792,1711061349000,0.1544,5462.68,,2024-03-21T22:49:09.000Z,DOGE/USD
557.1500712,1711061354000,0.15436,3609.42,,2024-03-21T22:49:14.000Z,DOGE/USD
620.6707548,1711061354000,0.15436,4020.93,,2024-03-21T22:49:14.000Z,DOGE/USD
596.578246,1711061354000,0.15436,3864.85,,2024-03-21T22:49:14.000Z,DOGE/USD
521.278017,1711061368000,0.15445,3375.06,,2024-03-21T22:49:28.000Z,DOGE/USD
670.5373846,1711061373000,0.15439,4343.14,,2024-03-21T22:49:33.000Z,DOGE/USD
626.9819502,1711061376000,0.15438,4061.29,,2024-03-21T22:49:36.000Z,DOGE/USD
542.3863416,1711061377000,0.15438,3513.32,,2024-03-21T22:49:37.000Z,DOGE/USD
615.8387664,1711061400000,0.15444,3987.56,,2024-03-21T22:50:00.000Z,DOGE/USD
640.1108532,1711061407000,0.15436,4146.87,,2024-03-21T22:50:07.000Z,DOGE/USD
1201.291264,1711061407000,0.15436,7782.4,,2024-03-21T22:50:07.000Z,DOGE/USD
600.4724355,1711061407000,0.15435,3890.33,,2024-03-21T22:50:07.000Z,DOGE/USD
197.1342765,1711061407000,0.15435,1277.19,,2024-03-21T22:50:07.000Z,DOGE/USD
100.0036365,1711061421000,0.15441,647.65,,2024-03-21T22:50:21.000Z,DOGE/USD
697.5838584,1711061421000,0.15444,4516.86,,2024-03-21T22:50:21.000Z,DOGE/USD
690.0140599,1711061430000,0.15433,4471.03,,2024-03-21T22:50:30.000Z,DOGE/USD
675.1124846,1711061433000,0.15434,4374.19,,2024-03-21T22:50:33.000Z,DOGE/USD
802.8914664,1711061434000,0.15432,5202.77,,2024-03-21T22:50:34.000Z,DOGE/USD
778.844552,1711061454000,0.1544,5044.33,,2024-03-21T22:50:54.000Z,DOGE/USD
515.2083313,1711061455000,0.15437,3337.49,,2024-03-21T22:50:55.000Z,DOGE/USD
537.2181001,1711061463000,0.15433,3480.97,,2024-03-21T22:51:03.000Z,DOGE/USD
687.9323256,1711061464000,0.15432,4457.83,,2024-03-21T22:51:04.000Z,DOGE/USD
532.965181,1711061488000,0.15421,3456.1,,2024-03-21T22:51:28.000Z,DOGE/USD
532.4415866,1711061501000,0.15433,3450.02,,2024-03-21T22:51:41.000Z,DOGE/USD
523.9789473,1711061617000,0.15451,3391.23,,2024-03-21T22:53:37.000Z,DOGE/USD
642.409458,1711061669000,0.15479,4150.2,,2024-03-21T22:54:29.000Z,DOGE/USD
819.3530028,1711061669000,0.15479,5293.32,,2024-03-21T22:54:29.000Z,DOGE/USD
745.3258111,1711061686000,0.15469,4818.19,,2024-03-21T22:54:46.000Z,DOGE/USD
1119.3940753,1711061686000,0.15469,7236.37,,2024-03-21T22:54:46.000Z,DOGE/USD
636.265979,1711061686000,0.15467,4113.7,,2024-03-21T22:54:46.000Z,DOGE/USD
572.5082972,1711061688000,0.15463,3702.44,,2024-03-21T22:54:48.000Z,DOGE/USD
114.4930176,1711061694000,0.15462,740.48,,2024-03-21T22:54:54.000Z,DOGE/USD
22.899222,1711061694000,0.15462,148.1,,2024-03-21T22:54:54.000Z,DOGE/USD
27.21906,1711062527000,0.15378,177.0,,2024-03-21T23:08:47.000Z,DOGE/USD
7677.0,1711062583000,0.15354,50000.0,,2024-03-21T23:09:43.000Z,DOGE/USD
47.3146624,1711062632000,0.15424,306.76,,2024-03-21T23:10:32.000Z,DOGE/USD
40.0656996,1711062787000,0.15417,259.88,,2024-03-21T23:13:07.000Z,DOGE/USD
22.36915,1711062802000,0.15427,145.0,,2024-03-21T23:13:22.000Z,DOGE/USD
868.8496752,1711062863000,0.15394,5644.08,,2024-03-21T23:14:23.000Z,DOGE/USD
360.295343,1711062863000,0.15395,2340.34,,2024-03-21T23:14:23.000Z,DOGE/USD
685.227784,1711063031000,0.1543,4440.88,,2024-03-21T23:17:11.000Z,DOGE/USD
242.5651872,1711063033000,0.15428,1572.24,,2024-03-21T23:17:13.000Z,DOGE/USD
48.5055144,1711063034000,0.15426,314.44,,2024-03-21T23:17:14.000Z,DOGE/USD
