cost,price,amount,type,datetime,timestamp,symbol
1.61544,0.161544,10.0,,2024-03-23T10:40:56.769Z,1711190456769,DOGE/USD:USD
56.51555,0.161473,350.0,,2024-03-23T10:40:57.196Z,1711190457196,DOGE/USD:USD
457.1865,0.16155,2830.0,,2024-03-23T10:41:02.927Z,1711190462927,DOGE/USD:USD
1.61434,0.161434,10.0,,2024-03-23T10:41:31.469Z,1711190491469,DOGE/USD:USD
1.61415,0.161415,10.0,,2024-03-23T10:42:09.669Z,1711190529669,DOGE/USD:USD
1.61409,0.161409,10.0,,2024-03-23T10:42:41.369Z,1711190561369,DOGE/USD:USD
1.61677,0.161677,10.0,,2024-03-23T10:43:15.572Z,1711190595572,DOGE/USD:USD
1.61565,0.161565,10.0,,2024-03-23T10:43:51.369Z,1711190631369,DOGE/USD:USD
1.6161,0.16161,10.0,,2024-03-23T10:44:06.769Z,1711190646769,DOGE/USD:USD
284.63072,0.161722,1760.0,,2024-03-23T10:44:06.892Z,1711190646892,DOGE/USD:USD
890.076,0.161832,5500.0,,2024-03-23T10:44:12.852Z,1711190652852,DOGE/USD:USD
76.07749,0.161867,470.0,,2024-03-23T10:44:12.853Z,1711190652853,DOGE/USD:USD
2146.42272,0.161872,13260.0,,2024-03-23T10:44:13.089Z,1711190653089,DOGE/USD:USD
1.61824,0.161824,10.0,,2024-03-23T10:44:39.174Z,1711190679174,DOGE/USD:USD
1.61768,0.161768,10.0,,2024-03-23T10:44:43.609Z,1711190683609,DOGE/USD:USD
1.61884,0.161884,10.0,,2024-03-23T10:45:15.771Z,1711190715771,DOGE/USD:USD
1.61895,0.161895,10.0,,2024-03-23T10:45:41.576Z,1711190741576,DOGE/USD:USD
1.6186,0.16186,10.0,,2024-03-23T10:46:01.870Z,1711190761870,DOGE/USD:USD
1.6187,0.16187,10.0,,2024-03-23T10:46:27.171Z,1711190787171,DOGE/USD:USD
1.61847,0.161847,10.0,,2024-03-23T10:46:51.173Z,1711190811173,DOGE/USD:USD
1.61931,0.161931,10.0,,2024-03-23T10:47:16.898Z,1711190836898,DOGE/USD:USD
1.62013,0.162013,10.0,,2024-03-23T10:47:26.883Z,1711190846883,DOGE/USD:USD
1.61985,0.161985,10.0,,2024-03-23T10:48:08.781Z,1711190888781,DOGE/USD:USD
1.62051,0.162051,10.0,,2024-03-23T10:48:13.373Z,1711190893373,DOGE/USD:USD
1.62241,0.162241,10.0,,2024-03-23T10:48:36.073Z,1711190916073,DOGE/USD:USD
1.62627,0.162627,10.0,,2024-03-23T10:49:10.776Z,1711190950776,DOGE/USD:USD
