amount,datetime,type,symbol,price,cost,timestamp
9148.0,2024-03-16T23:46:50.991Z,limit,DOGE/USDT,0.14145,1293.9846,1710632810991
14355.0,2024-03-16T23:47:09.013Z,limit,DOGE/USDT,0.14144,2030.3712,1710632829013
7223.0,2024-03-16T23:47:14.235Z,limit,DOGE/USDT,0.14152,1022.19896,1710632834235
8347.0,2024-03-16T23:47:28.530Z,limit,DOGE/USDT,0.14164,1182.26908,1710632848530
17.0,2024-03-16T23:47:36.115Z,limit,DOGE/USDT,0.14159,2.40703,1710632856115
25025.0,2024-03-16T23:47:36.963Z,limit,DOGE/USDT,0.14164,3544.541,1710632856963
27264.0,2024-03-16T23:47:43.803Z,limit,DOGE/USDT,0.14182,3866.58048,1710632863803
20510.0,2024-03-16T23:47:44.854Z,limit,DOGE/USDT,0.14183,2908.9333,1710632864854
15029.0,2024-03-16T23:47:49.070Z,limit,DOGE/USDT,0.14193,2133.06597,1710632869070
20466.0,2024-03-16T23:47:55.411Z,limit,DOGE/USDT,0.14204,2906.99064,1710632875411
4231.0,2024-03-16T23:48:18.730Z,limit,DOGE/USDT,0.142,600.802,1710632898730
30691.0,2024-03-16T23:48:19.240Z,limit,DOGE/USDT,0.142,4358.122,1710632899240
30132.0,2024-03-16T23:48:27.248Z,limit,DOGE/USDT,0.14176,4271.51232,1710632907248
5406.0,2024-03-16T23:48:29.875Z,limit,DOGE/USDT,0.14172,766.13832,1710632909875
10287.0,2024-03-16T23:48:31.985Z,limit,DOGE/USDT,0.14171,1457.77077,1710632911985
28068.0,2024-03-16T23:48:39.895Z,limit,DOGE/USDT,0.14181,3980.32308,1710632919895
32297.0,2024-03-16T23:48:48.357Z,limit,DOGE/USDT,0.1418,4579.7146,1710632928357
7730.0,2024-03-16T23:48:57.247Z,limit,DOGE/USDT,0.14193,1097.1189,1710632937247
16599.0,2024-03-16T23:48:58.823Z,limit,DOGE/USDT,0.14192,2355.73008,1710632938823
1829.0,2024-03-16T23:49:18.857Z,limit,DOGE/USDT,0.14228,260.23012,1710632958857
6922.0,2024-03-16T23:49:32.785Z,limit,DOGE/USDT,0.14207,983.40854,1710632972785
10510.0,2024-03-16T23:49:43.883Z,limit,DOGE/USDT,0.14204,1492.8404,1710632983883
18504.0,2024-03-16T23:49:47.549Z,limit,DOGE/USDT,0.14199,2627.38296,1710632987549
15881.0,2024-03-16T23:49:56.655Z,limit,DOGE/USDT,0.14194,2254.14914,1710632996655
13052.0,2024-03-16T23:50:03.070Z,limit,DOGE/USDT,0.14204,1853.90608,1710633003070
18582.0,2024-03-16T23:50:04.123Z,limit,DOGE/USDT,0.14204,2639.38728,1710633004123
16015.0,2024-03-16T23:50:16.768Z,limit,DOGE/USDT,0.14204,2274.7706,1710633016768
2.0,2024-03-16T23:50:25.344Z,limit,DOGE/USDT,0.142,0.284,1710633025344
16536.0,2024-03-16T23:50:26.732Z,limit,DOGE/USDT,0.1421,2349.7656,1710633026732
19473.0,2024-03-16T23:50:27.259Z,limit,DOGE/USDT,0.14209,2766.91857,1710633027259
6326.0,2024-03-16T23:50:34.149Z,limit,DOGE/USDT,0.14223,899.74698,1710633034149
4000.0,2024-03-16T23:50:36.912Z,limit,DOGE/USDT,0.14232,569.28,1710633036912
4094.0,2024-03-16T23:50:47.971Z,limit,DOGE/USDT,0.14248,583.31312,1710633047971
16164.0,2024-03-16T23:51:01.219Z,limit,DOGE/USDT,0.1425,2303.37,1710633061219
7497.0,2024-03-16T23:51:08.120Z,limit,DOGE/USDT,0.14252,1068.47244,1710633068120
1.0,2024-03-16T23:51:08.662Z,limit,DOGE/USDT,0.14257,0.14257,1710633068662
13375.0,2024-03-16T23:51:10.218Z,limit,DOGE/USDT,0.14259,1907.14125,1710633070218
17319.0,2024-03-16T23:51:15.401Z,limit,DOGE/USDT,0.14252,2468.30388,1710633075401
480.0,2024-03-16T23:51:16.471Z,limit,DOGE/USDT,0.14251,68.4048,1710633076471
2430.0,2024-03-16T23:51:24.363Z,limit,DOGE/USDT,0.14235,345.9105,1710633084363
9508.0,2024-03-16T23:51:25.938Z,limit,DOGE/USDT,0.14244,1354.31952,1710633085938
1348.0,2024-03-16T23:51:42.713Z,limit,DOGE/USDT,0.14243,191.99564,1710633102713
14706.0,2024-03-16T23:51:44.804Z,limit,DOGE/USDT,0.14243,2094.57558,1710633104804
12020.0,2024-03-16T23:51:52.193Z,limit,DOGE/USDT,0.14244,1712.1288,1710633112193
6883.0,2024-03-16T23:51:54.789Z,limit,DOGE/USDT,0.14243,980.34569,1710633114789
17402.0,2024-03-16T23:51:55.839Z,limit,DOGE/USDT,0.14244,2478.74088,1710633115839
753.0,2024-03-16T23:51:56.368Z,limit,DOGE/USDT,0.14244,107.25732,1710633116368
8110.0,2024-03-16T23:52:02.201Z,limit,DOGE/USDT,0.14258,1156.3238,1710633122201
4.0,2024-03-16T23:52:04.162Z,limit,DOGE/USDT,0.14263,0.57052,1710633124162
2.0,2024-03-16T23:52:04.219Z,limit,DOGE/USDT,0.14266,0.28532,1710633124219
4839.0,2024-03-16T23:52:07.445Z,limit,DOGE/USDT,0.14268,690.42852,1710633127445
7648.0,2024-03-16T23:52:14.365Z,limit,DOGE/USDT,0.14283,1092.36384,1710633134365
7703.0,2024-03-16T23:52:15.389Z,limit,DOGE/USDT,0.14282,1100.14246,1710633135389
10778.0,2024-03-16T23:52:22.721Z,limit,DOGE/USDT,0.14277,1538.77506,1710633142721
2008.0,2024-03-16T23:52:23.266Z,limit,DOGE/USDT,0.14278,286.70224,1710633143266
3216.0,2024-03-16T23:52:24.310Z,limit,DOGE/USDT,0.14282,459.30912,1710633144310
7632.0,2024-03-16T23:52:27.463Z,limit,DOGE/USDT,0.14282,1090.00224,1710633147463
475.0,2024-03-16T23:52:28.489Z,limit,DOGE/USDT,0.14282,67.8395,1710633148489
6140.0,2024-03-16T23:52:42.840Z,limit,DOGE/USDT,0.14262,875.6868,1710633162840
5713.0,2024-03-16T23:52:49.230Z,limit,DOGE/USDT,0.14258,814.55954,1710633169230
13541.0,2024-03-16T23:52:58.145Z,limit,DOGE/USDT,0.1425,1929.5925,1710633178145
15588.0,2024-03-16T23:52:59.186Z,limit,DOGE/USDT,0.14254,2221.91352,1710633179186
1222.0,2024-03-16T23:53:02.383Z,limit,DOGE/USDT,0.14247,174.09834,1710633182383
3902.0,2024-03-16T23:53:07.639Z,limit,DOGE/USDT,0.14248,555.95696,1710633187639
17956.0,2024-03-16T23:53:08.717Z,limit,DOGE/USDT,0.14248,2558.37088,1710633188717
2123.0,2024-03-16T23:53:11.331Z,limit,DOGE/USDT,0.14247,302.46381,1710633191331
13041.0,2024-03-16T23:53:21.960Z,limit,DOGE/USDT,0.1425,1858.3425,1710633201960
10616.0,2024-03-16T23:53:40.442Z,limit,DOGE/USDT,0.14255,1513.3108,1710633220442
