cost,price,amount,type,datetime,timestamp,symbol
757.38730623,0.163477,4632.99,,2024-03-23T11:03:14.293Z,1711191794293,DOGE/USDT
589.84648844,0.163468,3608.33,,2024-03-23T11:03:14.598Z,1711191794598,DOGE/USDT
611.24935368,0.163468,3739.26,,2024-03-23T11:03:15.455Z,1711191795455,DOGE/USDT
425.46893975,0.163469,2602.75,,2024-03-23T11:03:16.157Z,1711191796157,DOGE/USDT
741.06567864,0.163464,4533.51,,2024-03-23T11:03:17.348Z,1711191797348,DOGE/USDT
122.59883545,0.163415,750.23,,2024-03-23T11:03:17.878Z,1711191797878,DOGE/USDT
678.6892438,0.163388,4153.85,,2024-03-23T11:03:18.771Z,1711191798771,DOGE/USDT
560.932554,0.16338,3433.3,,2024-03-23T11:03:19.569Z,1711191799569,DOGE/USDT
644.32277624,0.163384,3943.61,,2024-03-23T11:03:19.796Z,1711191799796,DOGE/USDT
693.25632459,0.163431,4241.89,,2024-03-23T11:03:21.495Z,1711191801495,DOGE/USDT
628.63532732,0.163436,3846.37,,2024-03-23T11:03:22.799Z,1711191802799,DOGE/USDT
584.66552292,0.163434,3577.38,,2024-03-23T11:03:23.229Z,1711191803229,DOGE/USDT
81.81099504,0.163452,500.52,,2024-03-23T11:03:23.433Z,1711191803433,DOGE/USDT
104.39352336,0.163452,638.68,,2024-03-23T11:03:23.442Z,1711191803442,DOGE/USDT
719.78497444,0.163492,4402.57,,2024-03-23T11:03:24.402Z,1711191804402,DOGE/USDT
751.47759027,0.163493,4596.39,,2024-03-23T11:03:25.199Z,1711191805199,DOGE/USDT
762.89259567,0.163507,4665.81,,2024-03-23T11:03:26.253Z,1711191806253,DOGE/USDT
20.14828488,0.163528,123.21,,2024-03-23T11:03:27.115Z,1711191807115,DOGE/USDT
102.48626816,0.163528,626.72,,2024-03-23T11:03:27.117Z,1711191807117,DOGE/USDT
731.88953856,0.163584,4474.09,,2024-03-23T11:03:27.805Z,1711191807805,DOGE/USDT
122.59011324,0.163604,749.31,,2024-03-23T11:03:28.238Z,1711191808238,DOGE/USDT
22.29458962,0.163606,136.27,,2024-03-23T11:03:28.248Z,1711191808248,DOGE/USDT
768.934962,0.163638,4699.0,,2024-03-23T11:03:28.781Z,1711191808781,DOGE/USDT
479.27477293,0.163637,2928.89,,2024-03-23T11:03:29.222Z,1711191809222,DOGE/USDT
735.27325989,0.163657,4492.77,,2024-03-23T11:03:30.691Z,1711191810691,DOGE/USDT
645.31881626,0.163654,3943.19,,2024-03-23T11:03:32.077Z,1711191812077,DOGE/USDT
696.2089896,0.163656,4254.1,,2024-03-23T11:03:32.372Z,1711191812372,DOGE/USDT
715.09987623,0.163671,4369.13,,2024-03-23T11:03:32.658Z,1711191812658,DOGE/USDT
714.11459037,0.163659,4363.43,,2024-03-23T11:03:33.315Z,1711191813315,DOGE/USDT
34.9489536,0.16368,213.52,,2024-03-23T11:03:33.417Z,1711191813417,DOGE/USDT
87.6162672,0.16368,535.29,,2024-03-23T11:03:33.417Z,1711191813417,DOGE/USDT
20.74090648,0.163688,126.71,,2024-03-23T11:03:33.427Z,1711191813427,DOGE/USDT
0.0032736,0.16368,0.02,,2024-03-23T11:03:33.427Z,1711191813427,DOGE/USDT
865.5073148,0.163711,5286.8,,2024-03-23T11:03:33.970Z,1711191813970,DOGE/USDT
617.95886568,0.163722,3774.44,,2024-03-23T11:03:35.299Z,1711191815299,DOGE/USDT
732.89618612,0.163723,4476.44,,2024-03-23T11:03:36.154Z,1711191816154,DOGE/USDT
762.7559949,0.16371,4659.19,,2024-03-23T11:03:36.316Z,1711191816316,DOGE/USDT
781.26323478,0.163723,4771.86,,2024-03-23T11:03:37.031Z,1711191817031,DOGE/USDT
642.2963833,0.163735,3922.78,,2024-03-23T11:03:37.169Z,1711191817169,DOGE/USDT
507.964786,0.163688,3103.25,,2024-03-23T11:03:37.737Z,1711191817737,DOGE/USDT
85.65729192,0.163643,523.44,,2024-03-23T11:03:37.750Z,1711191817750,DOGE/USDT
100.58316995,0.163643,614.65,,2024-03-23T11:03:37.752Z,1711191817752,DOGE/USDT
