cost,price,amount,type,datetime,timestamp,symbol
640.01861,0.16093,3977.0,limit,2024-03-23T06:21:49.403Z,1711174909403,DOGE/USDT
583.04939,0.16093,3623.0,limit,2024-03-23T06:21:51.340Z,1711174911340,DOGE/USDT
83.7304,0.16102,520.0,limit,2024-03-23T06:22:00.848Z,1711174920848,DOGE/USDT
70.69217,0.16103,439.0,limit,2024-03-23T06:22:09.272Z,1711174929272,DOGE/USDT
437.81338,0.16102,2719.0,limit,2024-03-23T06:22:09.784Z,1711174929784,DOGE/USDT
598.1893,0.16102,3715.0,limit,2024-03-23T06:22:10.329Z,1711174930329,DOGE/USDT
365.69913,0.16103,2271.0,limit,2024-03-23T06:22:10.841Z,1711174930841,DOGE/USDT
79.06082,0.16102,491.0,limit,2024-03-23T06:22:14.523Z,1711174934523,DOGE/USDT
189.35952,0.16102,1176.0,limit,2024-03-23T06:22:20.829Z,1711174940829,DOGE/USDT
207.24561,0.16103,1287.0,limit,2024-03-23T06:22:25.192Z,1711174945192,DOGE/USDT
380.97332,0.16102,2366.0,limit,2024-03-23T06:22:30.343Z,1711174950343,DOGE/USDT
548.79956,0.16108,3407.0,limit,2024-03-23T06:22:34.548Z,1711174954548,DOGE/USDT
362.42635,0.16115,2249.0,limit,2024-03-23T06:23:01.427Z,1711174981427,DOGE/USDT
394.01175,0.16115,2445.0,limit,2024-03-23T06:23:01.978Z,1711174981978,DOGE/USDT
635.12436,0.16124,3939.0,limit,2024-03-23T06:23:08.934Z,1711174988934,DOGE/USDT
575.16014,0.16129,3566.0,limit,2024-03-23T06:23:11.956Z,1711174991956,DOGE/USDT
171.55936,0.16124,1064.0,limit,2024-03-23T06:23:20.844Z,1711175000844,DOGE/USDT
782.33648,0.16124,4852.0,limit,2024-03-23T06:23:26.630Z,1711175006630,DOGE/USDT
353.10156,0.16116,2191.0,limit,2024-03-23T06:23:42.437Z,1711175022437,DOGE/USDT
564.90085,0.16117,3505.0,limit,2024-03-23T06:23:49.787Z,1711175029787,DOGE/USDT
762.65644,0.16117,4732.0,limit,2024-03-23T06:23:59.267Z,1711175039267,DOGE/USDT
711.56555,0.16117,4415.0,limit,2024-03-23T06:24:02.933Z,1711175042933,DOGE/USDT
234.32664,0.16116,1454.0,limit,2024-03-23T06:24:03.997Z,1711175043997,DOGE/USDT
682.32536,0.16123,4232.0,limit,2024-03-23T06:24:06.617Z,1711175046617,DOGE/USDT
44.1962,0.1613,274.0,limit,2024-03-23T06:24:22.575Z,1711175062575,DOGE/USDT
628.93683,0.16139,3897.0,limit,2024-03-23T06:24:27.804Z,1711175067804,DOGE/USDT
73.4279,0.16138,455.0,limit,2024-03-23T06:24:28.840Z,1711175068840,DOGE/USDT
679.4519,0.16139,4210.0,limit,2024-03-23T06:24:29.346Z,1711175069346,DOGE/USDT
540.17233,0.16139,3347.0,limit,2024-03-23T06:24:33.557Z,1711175073557,DOGE/USDT
869.8921,0.16139,5390.0,limit,2024-03-23T06:24:38.470Z,1711175078470,DOGE/USDT
532.389,0.16133,3300.0,limit,2024-03-23T06:24:44.777Z,1711175084777,DOGE/USDT
0.64572,0.16143,4.0,limit,2024-03-23T06:24:49.667Z,1711175089667,DOGE/USDT
5.81256,0.16146,36.0,limit,2024-03-23T06:24:49.718Z,1711175089718,DOGE/USDT
216.209,0.16135,1340.0,limit,2024-03-23T06:25:07.664Z,1711175107664,DOGE/USDT
229.41126,0.16133,1422.0,limit,2024-03-23T06:25:11.353Z,1711175111353,DOGE/USDT
140.04312,0.16134,868.0,limit,2024-03-23T06:25:12.409Z,1711175112409,DOGE/USDT
537.2622,0.16134,3330.0,limit,2024-03-23T06:25:26.658Z,1711175126658,DOGE/USDT
729.6636,0.16143,4520.0,limit,2024-03-23T06:25:31.358Z,1711175131358,DOGE/USDT
463.2754,0.16142,2870.0,limit,2024-03-23T06:25:32.936Z,1711175132936,DOGE/USDT
764.42683,0.16151,4733.0,limit,2024-03-23T06:25:38.733Z,1711175138733,DOGE/USDT
703.817,0.1615,4358.0,limit,2024-03-23T06:25:43.110Z,1711175143110,DOGE/USDT
502.588,0.1615,3112.0,limit,2024-03-23T06:25:44.151Z,1711175144151,DOGE/USDT
78.33235,0.16151,485.0,limit,2024-03-23T06:25:45.729Z,1711175145729,DOGE/USDT
430.3975,0.1615,2665.0,limit,2024-03-23T06:25:52.060Z,1711175152060,DOGE/USDT
0.48489,0.16163,3.0,limit,2024-03-23T06:26:04.251Z,1711175164251,DOGE/USDT
0.32336,0.16168,2.0,limit,2024-03-23T06:26:08.827Z,1711175168827,DOGE/USDT
663.30018,0.16182,4099.0,limit,2024-03-23T06:26:15.273Z,1711175175273,DOGE/USDT
411.99143,0.16201,2543.0,limit,2024-03-23T06:26:28.414Z,1711175188414,DOGE/USDT
658.2854,0.1619,4066.0,limit,2024-03-23T06:26:32.106Z,1711175192106,DOGE/USDT
424.0161,0.1619,2619.0,limit,2024-03-23T06:26:36.269Z,1711175196269,DOGE/USDT
357.75358,0.16166,2213.0,limit,2024-03-23T06:26:52.206Z,1711175212206,DOGE/USDT
146.31135,0.16167,905.0,limit,2024-03-23T06:26:55.324Z,1711175215324,DOGE/USDT
125.13258,0.16167,774.0,limit,2024-03-23T06:26:56.369Z,1711175216369,DOGE/USDT
6.30591,0.16169,39.0,limit,2024-03-23T06:27:21.439Z,1711175241439,DOGE/USDT
128.5515,0.1617,795.0,market,2024-03-23T06:27:28.939Z,1711175248939,DOGE/USDT
11.64168,0.16169,72.0,limit,2024-03-23T06:27:34.333Z,1711175254333,DOGE/USDT
309.90222,0.16166,1917.0,limit,2024-03-23T06:27:47.014Z,1711175267014,DOGE/USDT
712.9206,0.16166,4410.0,limit,2024-03-23T06:27:47.494Z,1711175267494,DOGE/USDT
260.72488,0.16174,1612.0,limit,2024-03-23T06:27:56.638Z,1711175276638,DOGE/USDT
581.85072,0.16176,3597.0,limit,2024-03-23T06:27:58.873Z,1711175278873,DOGE/USDT
472.88294,0.16178,2923.0,limit,2024-03-23T06:28:01.008Z,1711175281008,DOGE/USDT
384.1887,0.1619,2373.0,limit,2024-03-23T06:28:03.684Z,1711175283684,DOGE/USDT
702.6168,0.16208,4335.0,limit,2024-03-23T06:28:05.769Z,1711175285769,DOGE/USDT
650.79135,0.16209,4015.0,limit,2024-03-23T06:28:07.341Z,1711175287341,DOGE/USDT
582.66012,0.16194,3598.0,limit,2024-03-23T06:28:19.468Z,1711175299468,DOGE/USDT
693.87005,0.16193,4285.0,limit,2024-03-23T06:28:19.960Z,1711175299960,DOGE/USDT
