price,amount,datetime,cost,type,symbol,timestamp
0.14984,3259.0,2024-03-21T04:12:27.402Z,488.32856,limit,DOGE/USDT,1710994347402
0.14982,226.0,2024-03-21T04:12:30.181Z,33.85932,limit,DOGE/USDT,1710994350181
0.14983,12638.0,2024-03-21T04:12:30.546Z,1893.55154,limit,DOGE/USDT,1710994350546
0.14974,12685.0,2024-03-21T04:12:50.209Z,1899.4519,limit,DOGE/USDT,1710994370209
0.14944,1.0,2024-03-21T04:13:02.417Z,0.14944,limit,DOGE/USDT,1710994382417
0.14944,1.0,2024-03-21T04:13:02.472Z,0.14944,limit,DOGE/USDT,1710994382472
0.14944,1.0,2024-03-21T04:13:02.595Z,0.14944,limit,DOGE/USDT,1710994382595
0.14944,1.0,2024-03-21T04:13:02.648Z,0.14944,limit,DOGE/USDT,1710994382648
0.14944,1.0,2024-03-21T04:13:02.701Z,0.14944,limit,DOGE/USDT,1710994382701
0.14944,1.0,2024-03-21T04:13:02.779Z,0.14944,limit,DOGE/USDT,1710994382779
0.14941,6762.0,2024-03-21T04:13:03.244Z,1010.31042,limit,DOGE/USDT,1710994383244
0.14942,2332.0,2024-03-21T04:13:04.293Z,348.44744,limit,DOGE/USDT,1710994384293
0.14937,9790.0,2024-03-21T04:13:10.191Z,1462.3323,limit,DOGE/USDT,1710994390191
0.14936,8576.0,2024-03-21T04:13:13.311Z,1280.91136,limit,DOGE/USDT,1710994393311
0.14941,6956.0,2024-03-21T04:13:13.929Z,1039.29596,limit,DOGE/USDT,1710994393929
0.14947,2789.0,2024-03-21T04:13:30.587Z,416.87183,limit,DOGE/USDT,1710994410587
0.14941,9782.0,2024-03-21T04:13:34.277Z,1461.52862,limit,DOGE/USDT,1710994414277
0.1495,301.0,2024-03-21T04:13:37.415Z,44.9995,limit,DOGE/USDT,1710994417415
0.14949,8465.0,2024-03-21T04:13:40.208Z,1265.43285,limit,DOGE/USDT,1710994420208
0.14957,5378.0,2024-03-21T04:13:46.341Z,804.38746,limit,DOGE/USDT,1710994426341
0.14956,244.0,2024-03-21T04:13:47.383Z,36.49264,limit,DOGE/USDT,1710994427383
0.14934,425.0,2024-03-21T04:14:07.512Z,63.4695,limit,DOGE/USDT,1710994447512
