type,cost,datetime,timestamp,symbol,price,amount
,52.0347904,2024-03-22T22:03:04.000Z,1711144984000,DOGE/USDT,0.15104,344.51
,1600.3380448,2024-03-22T22:03:04.000Z,1711144984000,DOGE/USDT,0.15103,10596.16
,69.0283008,2024-03-22T22:03:04.000Z,1711144984000,DOGE/USDT,0.15104,457.02
,56.908104,2024-03-22T22:03:07.000Z,1711144987000,DOGE/USDT,0.15103,376.8
,56.904336,2024-03-22T22:03:07.000Z,1711144987000,DOGE/USDT,0.15102,376.8
,123.9231356,2024-03-22T22:03:08.000Z,1711144988000,DOGE/USDT,0.15103,820.52
,329.0460404,2024-03-22T22:03:08.000Z,1711144988000,DOGE/USDT,0.15103,2178.68
,141.2925216,2024-03-22T22:03:14.000Z,1711144994000,DOGE/USDT,0.15096,935.96
,339.1663608,2024-03-22T22:03:14.000Z,1711144994000,DOGE/USDT,0.15096,2246.73
,52.1722126,2024-03-22T22:03:14.000Z,1711144994000,DOGE/USDT,0.15097,345.58
,1344.9872121,2024-03-22T22:03:34.000Z,1711145014000,DOGE/USDT,0.15099,8907.79
,1515.3047308,2024-03-22T22:03:34.000Z,1711145014000,DOGE/USDT,0.15098,10036.46
,128.416995,2024-03-22T22:03:34.000Z,1711145014000,DOGE/USDT,0.15099,850.5
,1709.9480736,2024-03-22T22:03:35.000Z,1711145015000,DOGE/USDT,0.15096,11327.16
,12501.6104976,2024-03-22T22:03:35.000Z,1711145015000,DOGE/USDT,0.15096,82814.06
,1101.9727375,2024-03-22T22:03:37.000Z,1711145017000,DOGE/USDT,0.15095,7300.25
,1509.5,2024-03-22T22:03:39.000Z,1711145019000,DOGE/USDT,0.15095,10000.0
,10.144316,2024-03-22T22:04:05.000Z,1711145045000,DOGE/USDT,0.1508,67.27
,6.5188494,2024-03-22T22:04:30.000Z,1711145070000,DOGE/USDT,0.15069,43.26
,1115.6329125,2024-03-22T22:04:41.000Z,1711145081000,DOGE/USDT,0.15075,7400.55
,108.1378612,2024-03-22T22:04:41.000Z,1711145081000,DOGE/USDT,0.15074,717.38
,6.32604,2024-03-22T22:05:06.000Z,1711145106000,DOGE/USDT,0.15062,42.0
,6.5861753,2024-03-22T22:05:09.000Z,1711145109000,DOGE/USDT,0.15061,43.73
,70.03653,2024-03-22T22:05:09.000Z,1711145109000,DOGE/USDT,0.1506,465.05
,138.499978,2024-03-22T22:05:14.000Z,1711145114000,DOGE/USDT,0.15055,919.96
,26.87496,2024-03-22T22:05:14.000Z,1711145114000,DOGE/USDT,0.15056,178.5
,120.626682,2024-03-22T22:05:14.000Z,1711145114000,DOGE/USDT,0.15055,801.24
,8.1980402,2024-03-22T22:05:40.000Z,1711145140000,DOGE/USDT,0.15034,54.53
,623.8142817,2024-03-22T22:05:59.000Z,1711145159000,DOGE/USDT,0.15051,4144.67
,391.5171477,2024-03-22T22:05:59.000Z,1711145159000,DOGE/USDT,0.15051,2601.27
,100.065945,2024-03-22T22:05:59.000Z,1711145159000,DOGE/USDT,0.1505,664.89
,9.106755,2024-03-22T22:06:24.000Z,1711145184000,DOGE/USDT,0.1505,60.51
,8.4172505,2024-03-22T22:06:50.000Z,1711145210000,DOGE/USDT,0.15055,55.91
,2573.91966,2024-03-22T22:06:52.000Z,1711145212000,DOGE/USDT,0.1506,17091.1
,219.993468,2024-03-22T22:06:52.000Z,1711145212000,DOGE/USDT,0.1506,1460.78
