date,open,high,low,close,volume
1712574120000,0.207361,0.207389,0.207121,0.207121,10308.87
1712574180000,0.207131,0.20723,0.207003,0.207214,101257.86
1712574240000,0.207133,0.207189,0.206966,0.206966,23860.09
1712574300000,0.207184,0.207184,0.206945,0.207153,371608.47
1712574360000,0.20718,0.207389,0.207018,0.207389,84060.2
1712574420000,0.207353,0.207573,0.207353,0.207446,632625.78
1712574480000,0.207048,0.207171,0.207048,0.207122,11207.89
1712574540000,0.207119,0.207136,0.207051,0.207134,42079.91
1712574600000,0.207137,0.207149,0.206981,0.206993,1280332.45
1712574660000,0.206983,0.206993,0.206662,0.206796,59917.94
1712574720000,0.206844,0.206972,0.206787,0.206787,14598.7
1712574780000,0.206799,0.206799,0.206416,0.206563,65932.64
1712574840000,0.206577,0.206759,0.206577,0.206695,93092.8
1712574900000,0.206769,0.206824,0.206639,0.206824,383356.01
1712574960000,0.206826,0.207121,0.206813,0.206979,307814.87
1712575020000,0.20701,0.207061,0.206747,0.206831,21660.43
1712575080000,0.206807,0.207075,0.206629,0.206852,88913.19
1712575140000,0.207042,0.207068,0.206883,0.207068,39062.23
1712575200000,0.207024,0.207186,0.206722,0.206983,849129.02
1712575260000,0.206973,0.207167,0.206972,0.207167,45460.99
1712575320000,0.207138,0.20739,0.207008,0.20739,123033.82
1712575380000,0.207427,0.207521,0.207131,0.207284,25118.39
1712575440000,0.207091,0.207213,0.207073,0.207213,24763.66
1712575500000,0.207136,0.207265,0.207113,0.207249,322304.68
1712575560000,0.20727,0.207459,0.207256,0.207318,303300.21
1712575620000,0.207284,0.207511,0.207244,0.207444,63421.41
1712575680000,0.207481,0.207569,0.207478,0.207491,23494.06
1712575740000,0.207439,0.207538,0.207296,0.207296,33771.52
1712575800000,0.207245,0.207245,0.206892,0.206944,398003.63
1712575860000,0.206986,0.206986,0.20668,0.206754,58937.2
1712575920000,0.206826,0.20692,0.20682,0.20682,14706.08
1712575980000,0.20683,0.206848,0.206752,0.206848,88825.35
1712576040000,0.206869,0.206873,0.206848,0.206848,1158.94
1712576100000,0.206836,0.206838,0.206626,0.206717,314910.24500004
1712576160000,0.206684,0.2069,0.206609,0.2069,109268.67
1712576220000,0.206967,0.206967,0.20667,0.206722,25128.54
1712576280000,0.206678,0.207818,0.206678,0.207684,1961568.15
1712576340000,0.207651,0.207741,0.207459,0.2077,132747.55
1712576400000,0.207623,0.207652,0.207308,0.207308,3428099.32
1712576460000,0.207304,0.207495,0.207118,0.207118,207751.67
1712576520000,0.207078,0.207078,0.206895,0.206936,143511.17
1712576580000,0.206936,0.207006,0.206601,0.206607,534120.09
