date,open,high,low,close,volume
1712528520000,2.813e-05,2.813e-05,2.813e-05,2.813e-05,177302.82879645
1712528820000,2.81e-05,2.81e-05,2.81e-05,2.81e-05,157814.64734055
1712529240000,2.805e-05,2.805e-05,2.805e-05,2.805e-05,167630.6708695
1712530560000,2.81e-05,2.81e-05,2.81e-05,2.81e-05,6585559.6974407
1712530680000,2.808e-05,2.808e-05,2.808e-05,2.808e-05,1040035.72296613
1712530920000,2.809e-05,2.809e-05,2.809e-05,2.809e-05,879650.59143161
1712530980000,2.809e-05,2.809e-05,2.809e-05,2.809e-05,440193.96737947
1712531820000,2.822e-05,2.822e-05,2.822e-05,2.822e-05,246499.33334805
1712532600000,2.815e-05,2.815e-05,2.815e-05,2.815e-05,3778765.0
1712533620000,2.824e-05,2.824e-05,2.824e-05,2.824e-05,162274.27508351
1712534160000,2.822e-05,2.822e-05,2.822e-05,2.822e-05,6024753.80353469
1712534460000,2.832e-05,2.832e-05,2.832e-05,2.832e-05,482669.102447
1712534520000,2.834e-05,2.834e-05,2.834e-05,2.834e-05,236003.632523
1712535420000,2.822e-05,2.822e-05,2.822e-05,2.822e-05,239810.25980923
1712536080000,2.828e-05,2.828e-05,2.828e-05,2.828e-05,502388.11250663
1712536920000,2.818e-05,2.818e-05,2.818e-05,2.818e-05,175238.73979645
1712537820000,2.821e-05,2.821e-05,2.821e-05,2.821e-05,4685628.8929479
1712538180000,2.81e-05,2.81e-05,2.81e-05,2.81e-05,616702.93613673
1712538360000,2.815e-05,2.815e-05,2.815e-05,2.815e-05,577948.69141848
1712538600000,2.817e-05,2.817e-05,2.815e-05,2.815e-05,63587126.850143
1712538660000,2.815e-05,2.815e-05,2.815e-05,2.815e-05,16666666.6666
1712538780000,2.821e-05,2.821e-05,2.821e-05,2.821e-05,1434511.9893623
1712539020000,2.835e-05,2.835e-05,2.835e-05,2.835e-05,16666666.6666
1712539560000,2.837e-05,2.837e-05,2.837e-05,2.837e-05,16666666.6666
1712539920000,2.834e-05,2.834e-05,2.834e-05,2.834e-05,30719506.0
1712539980000,2.832e-05,2.832e-05,2.832e-05,2.832e-05,33333333.3332
1712540280000,2.83e-05,2.83e-05,2.83e-05,2.83e-05,9338155.4976907
1712540760000,2.828e-05,2.828e-05,2.826e-05,2.826e-05,29429239.53859643
1712541420000,2.823e-05,2.823e-05,2.823e-05,2.823e-05,1420404.7420452
1712541540000,2.82e-05,2.82e-05,2.82e-05,2.82e-05,1545461.77174088
1712542260000,2.817e-05,2.817e-05,2.798e-05,2.798e-05,82772208.12599997
