date,open,high,low,close,volume
1712527440000,2.7927e-05,2.7947e-05,2.7927e-05,2.7931e-05,19664635.7595
1712527500000,2.7948e-05,2.7948e-05,2.7889e-05,2.7917e-05,290144784.3092
1712527560000,2.7941e-05,2.797e-05,2.7921e-05,2.797e-05,26499023.3092
1712527620000,2.7976e-05,2.802e-05,2.7976e-05,2.802e-05,5664364.7149
1712527680000,2.8024e-05,2.8024e-05,2.802e-05,2.802e-05,166261.2465
1712527740000,2.8024e-05,2.8034e-05,2.8004e-05,2.8027e-05,403159464.4721
1712527800000,2.8017e-05,2.805e-05,2.8011e-05,2.8045e-05,51788848.5527
1712527860000,2.8046e-05,2.8062e-05,2.8028e-05,2.8052e-05,391916259.5268
1712527920000,2.8032e-05,2.8037e-05,2.8032e-05,2.8037e-05,7791286.2488
1712527980000,2.8055e-05,2.8066e-05,2.8055e-05,2.8066e-05,11387642.2853
1712528040000,2.8066e-05,2.8075e-05,2.8066e-05,2.8075e-05,870387.7241
1712528100000,2.8075e-05,2.8075e-05,2.8075e-05,2.8075e-05,1565119.4087
1712528160000,2.8076e-05,2.809e-05,2.8076e-05,2.809e-05,1615361.8299
1712528220000,2.809e-05,2.812e-05,2.809e-05,2.812e-05,21346645.5452
1712528280000,2.812e-05,2.814e-05,2.812e-05,2.814e-05,44474237.1761
1712528340000,2.8141e-05,2.8143e-05,2.8141e-05,2.8143e-05,454721.5842
1712528400000,2.814e-05,2.814e-05,2.8136e-05,2.8136e-05,6776143.9252
1712528460000,2.8127e-05,2.8127e-05,2.8123e-05,2.8123e-05,9852473.0604
1712528520000,2.8124e-05,2.8132e-05,2.8118e-05,2.8118e-05,9020012.6921
1712528580000,2.81e-05,2.81e-05,2.81e-05,2.81e-05,177935.943
1712528640000,2.8115e-05,2.8115e-05,2.8115e-05,2.8115e-05,839893.5159
1712528700000,2.8115e-05,2.8115e-05,2.8115e-05,2.8115e-05,0.0
1712528760000,2.8131e-05,2.8131e-05,2.8125e-05,2.8125e-05,433225.474
1712528820000,2.8125e-05,2.8125e-05,2.8125e-05,2.8125e-05,289358.0113
1712528880000,2.8132e-05,2.8132e-05,2.8132e-05,2.8132e-05,1779222.1375
1712528940000,2.8114e-05,2.8114e-05,2.8114e-05,2.8114e-05,613433.0
1712529000000,2.81e-05,2.81e-05,2.8083e-05,2.8083e-05,42231635.943
1712529060000,2.8081e-05,2.8106e-05,2.8081e-05,2.8106e-05,1837914.0397
1712529120000,2.81e-05,2.81e-05,2.8052e-05,2.806e-05,126038450.403
1712529180000,2.8052e-05,2.8052e-05,2.8038e-05,2.8038e-05,164944486.7733
1712529240000,2.804e-05,2.804e-05,2.804e-05,2.804e-05,18195.5202
1712529300000,2.8055e-05,2.8068e-05,2.8048e-05,2.8054e-05,90696440.5407
1712529360000,2.8062e-05,2.8086e-05,2.8062e-05,2.8084e-05,16967777.0836
1712529420000,2.808e-05,2.808e-05,2.8077e-05,2.8077e-05,761035.0671
1712529480000,2.8106e-05,2.8106e-05,2.81e-05,2.8101e-05,30296741.2173
1712529540000,2.8102e-05,2.8102e-05,2.81e-05,2.81e-05,40409027.2301
