date,open,high,low,close,volume
1712527440000,2.792e-05,2.796e-05,2.792e-05,2.796e-05,7580459.0
1712527500000,2.796e-05,2.796e-05,2.789e-05,2.789e-05,109775096.0
1712527560000,2.789e-05,2.795e-05,2.789e-05,2.795e-05,5687729.0
1712527620000,2.795e-05,2.802e-05,2.795e-05,2.802e-05,277304234.0
1712527680000,2.802e-05,2.803e-05,2.802e-05,2.803e-05,125971957.0
1712527740000,2.803e-05,2.803e-05,2.801e-05,2.802e-05,891405.0
1712527800000,2.802e-05,2.802e-05,2.801e-05,2.802e-05,169985076.0
1712527860000,2.802e-05,2.805e-05,2.802e-05,2.805e-05,19546349.0
1712527920000,2.805e-05,2.805e-05,2.802e-05,2.803e-05,50709441.0
1712527980000,2.803e-05,2.806e-05,2.803e-05,2.806e-05,65182015.0
1712528040000,2.806e-05,2.808e-05,2.806e-05,2.808e-05,17188332.0
1712528100000,2.808e-05,2.808e-05,2.807e-05,2.808e-05,30306720.0
1712528160000,2.808e-05,2.81e-05,2.807e-05,2.81e-05,556514.0
1712528220000,2.81e-05,2.812e-05,2.809e-05,2.812e-05,18851304.0
1712528280000,2.812e-05,2.814e-05,2.812e-05,2.814e-05,24341562.0
1712528340000,2.814e-05,2.816e-05,2.813e-05,2.813e-05,579050.0
1712528400000,2.813e-05,2.814e-05,2.813e-05,2.813e-05,520402.0
1712528460000,2.813e-05,2.814e-05,2.812e-05,2.812e-05,9425538.0
1712528520000,2.812e-05,2.813e-05,2.811e-05,2.813e-05,529297.0
1712528580000,2.813e-05,2.813e-05,2.809e-05,2.81e-05,9016184.0
1712528640000,2.81e-05,2.812e-05,2.81e-05,2.812e-05,1272225.0
1712528700000,2.812e-05,2.814e-05,2.812e-05,2.813e-05,3436997.0
1712528760000,2.813e-05,2.813e-05,2.812e-05,2.812e-05,599606.0
1712528820000,2.812e-05,2.812e-05,2.811e-05,2.811e-05,3343904.0
1712528880000,2.811e-05,2.815e-05,2.811e-05,2.814e-05,720474.0
1712528940000,2.814e-05,2.814e-05,2.811e-05,2.811e-05,22506605.0
1712529000000,2.811e-05,2.812e-05,2.809e-05,2.809e-05,1066660.0
1712529060000,2.809e-05,2.81e-05,2.809e-05,2.809e-05,531512.0
1712529120000,2.809e-05,2.81e-05,2.807e-05,2.807e-05,1563240.0
1712529180000,2.807e-05,2.807e-05,2.803e-05,2.803e-05,6760483.0
1712529240000,2.803e-05,2.805e-05,2.803e-05,2.805e-05,1695772.0
1712529300000,2.805e-05,2.807e-05,2.805e-05,2.805e-05,443978605.0
1712529360000,2.805e-05,2.808e-05,2.805e-05,2.808e-05,23631574.0
1712529420000,2.808e-05,2.81e-05,2.807e-05,2.81e-05,5112251.0
1712529480000,2.81e-05,2.811e-05,2.81e-05,2.81e-05,581053.0
1712529540000,2.81e-05,2.81e-05,2.809e-05,2.81e-05,616441.0
1712529600000,2.81e-05,2.81e-05,2.808e-05,2.808e-05,6066821.0
1712529660000,2.808e-05,2.808e-05,2.806e-05,2.807e-05,19699159.0
1712529720000,2.807e-05,2.809e-05,2.807e-05,2.808e-05,6373000.0
1712529780000,2.808e-05,2.809e-05,2.808e-05,2.809e-05,6538984.0
1712529840000,2.809e-05,2.81e-05,2.808e-05,2.809e-05,5906549.0
1712529900000,2.809e-05,2.809e-05,2.807e-05,2.809e-05,5416941.0
1712529960000,2.809e-05,2.81e-05,2.809e-05,2.809e-05,12100764.0
1712530020000,2.809e-05,2.809e-05,2.807e-05,2.808e-05,313415690.0
1712530080000,2.808e-05,2.81e-05,2.807e-05,2.81e-05,5328803.0
1712530140000,2.81e-05,2.81e-05,2.809e-05,2.809e-05,8214014.0
1712530200000,2.809e-05,2.81e-05,2.808e-05,2.81e-05,438243.0
1712530260000,2.81e-05,2.81e-05,2.809e-05,2.81e-05,642497.0
1712530320000,2.81e-05,2.81e-05,2.808e-05,2.809e-05,25063898.0
1712530380000,2.809e-05,2.81e-05,2.809e-05,2.809e-05,632267.0
1712530440000,2.809e-05,2.809e-05,2.808e-05,2.809e-05,676478.0
1712530500000,2.809e-05,2.809e-05,2.807e-05,2.808e-05,788997839.0
1712530560000,2.808e-05,2.808e-05,2.805e-05,2.805e-05,4084166.0
1712530620000,2.805e-05,2.807e-05,2.805e-05,2.807e-05,718079.0
1712530680000,2.807e-05,2.807e-05,2.805e-05,2.806e-05,619534.0
1712530740000,2.806e-05,2.806e-05,2.804e-05,2.805e-05,517821.0
1712530800000,2.805e-05,2.806e-05,2.804e-05,2.806e-05,2150635.0
1712530860000,2.806e-05,2.807e-05,2.804e-05,2.807e-05,777768.0
1712530920000,2.807e-05,2.809e-05,2.807e-05,2.809e-05,676059.0
