date,open,high,low,close,volume
1712607780000,2.8589e-05,2.8592e-05,2.8582e-05,2.8587e-05,105831416.0
1712607840000,2.859e-05,2.8593e-05,2.8589e-05,2.8591e-05,49225174.0
1712607900000,2.8611e-05,2.8611e-05,2.8611e-05,2.8611e-05,3403684.0
1712607960000,2.8611e-05,2.8611e-05,2.8602e-05,2.8602e-05,4880226.0
1712608020000,2.8606e-05,2.8609e-05,2.8605e-05,2.8605e-05,78674343.0
1712608080000,2.8605e-05,2.8605e-05,2.8596e-05,2.8602e-05,51089575.0
1712608140000,2.8596e-05,2.8596e-05,2.859e-05,2.8595e-05,22415772.0
1712608200000,2.8595e-05,2.8598e-05,2.8587e-05,2.8589e-05,408042369.0
1712608260000,2.8596e-05,2.8612e-05,2.8596e-05,2.8612e-05,44362742.0
1712608320000,2.8613e-05,2.8616e-05,2.8602e-05,2.8603e-05,239276400.0
1712608380000,2.8597e-05,2.8597e-05,2.8591e-05,2.8596e-05,45174559.0
1712608440000,2.8596e-05,2.8596e-05,2.8595e-05,2.8596e-05,9041052.0
1712608500000,2.8596e-05,2.8607e-05,2.8596e-05,2.8603e-05,60154584.0
1712608560000,2.861e-05,2.8619e-05,2.861e-05,2.8619e-05,3545556.0
1712608620000,2.8617e-05,2.8626e-05,2.8616e-05,2.8622e-05,43945986.0
1712608680000,2.863e-05,2.8648e-05,2.8626e-05,2.8647e-05,94727500.0
1712608740000,2.8648e-05,2.867e-05,2.8648e-05,2.867e-05,60673508.0
1712608800000,2.867e-05,2.8685e-05,2.867e-05,2.8678e-05,105576657.0
1712608860000,2.8686e-05,2.8707e-05,2.8686e-05,2.8705e-05,42761817.0
1712608920000,2.8707e-05,2.8736e-05,2.8702e-05,2.8736e-05,384627209.0
1712608980000,2.8735e-05,2.875e-05,2.8733e-05,2.8746e-05,597365670.0
1712609040000,2.8749e-05,2.8777e-05,2.8744e-05,2.8773e-05,577367465.0
1712609100000,2.8771e-05,2.8779e-05,2.8749e-05,2.8762e-05,592225194.0
1712609160000,2.8772e-05,2.8778e-05,2.8769e-05,2.8778e-05,179714547.0
1712609220000,2.8781e-05,2.8787e-05,2.8756e-05,2.8757e-05,1501165522.0
1712609280000,2.8755e-05,2.8769e-05,2.8747e-05,2.8756e-05,696134332.0
1712609340000,2.8754e-05,2.8754e-05,2.8732e-05,2.8742e-05,546613887.0
1712609400000,2.8741e-05,2.8742e-05,2.8727e-05,2.8728e-05,52030590.0
1712609460000,2.8724e-05,2.8732e-05,2.8716e-05,2.8731e-05,253537142.0
1712609520000,2.873e-05,2.8744e-05,2.873e-05,2.8743e-05,80734536.0
1712609580000,2.8742e-05,2.8774e-05,2.8742e-05,2.876e-05,273941756.0
1712609640000,2.876e-05,2.8766e-05,2.8747e-05,2.8751e-05,308790876.0
1712609700000,2.8753e-05,2.8758e-05,2.8751e-05,2.8754e-05,12235097.0
