cost,price,amount,type,datetime,timestamp,symbol
387.541439604,2.7159e-05,14269356.0,,2024-03-23T10:56:36.877Z,1711191396877,SHIB/USDT
9.999988299,2.7153e-05,368283.0,,2024-03-23T10:56:37.089Z,1711191397089,SHIB/USDT
678.875,2.7155e-05,25000000.0,,2024-03-23T10:56:40.369Z,1711191400369,SHIB/USDT
387.512900892,2.7157e-05,14269356.0,,2024-03-23T10:56:40.369Z,1711191400369,SHIB/USDT
3204.75651093,2.7162e-05,117986765.0,,2024-03-23T10:56:40.589Z,1711191400589,SHIB/USDT
187.835357412,2.7177e-05,6911556.0,,2024-03-23T10:56:50.056Z,1711191410056,SHIB/USDT
503.375410647,2.7177e-05,18522111.0,,2024-03-23T10:56:50.056Z,1711191410056,SHIB/USDT
1.5116157,2.718e-05,55615.0,,2024-03-23T10:56:57.313Z,1711191417313,SHIB/USDT
123.198493587,2.7183e-05,4532189.0,,2024-03-23T10:56:58.420Z,1711191418420,SHIB/USDT
14.077831053,2.7183e-05,517891.0,,2024-03-23T10:57:00.652Z,1711191420652,SHIB/USDT
433.206081,2.7179e-05,15939000.0,,2024-03-23T10:57:05.103Z,1711191425103,SHIB/USDT
1.165280844,2.7183e-05,42868.0,,2024-03-23T10:57:11.908Z,1711191431908,SHIB/USDT
0.0013606,2.7212e-05,50.0,,2024-03-23T10:57:46.700Z,1711191466700,SHIB/USDT
255.09375,2.721e-05,9375000.0,,2024-03-23T10:58:00.807Z,1711191480807,SHIB/USDT
187.5206132,2.7212e-05,6891100.0,,2024-03-23T10:58:22.056Z,1711191502056,SHIB/USDT
100.011069004,2.7214e-05,3674986.0,,2024-03-23T10:58:24.237Z,1711191504237,SHIB/USDT
99.98529541,2.7235e-05,3671206.0,,2024-03-23T10:58:32.269Z,1711191512269,SHIB/USDT
1.086457242,2.7222e-05,39911.0,,2024-03-23T10:58:51.538Z,1711191531538,SHIB/USDT
188.243139216,2.7236e-05,6911556.0,,2024-03-23T10:59:01.900Z,1711191541900,SHIB/USDT
188.227791,2.7234e-05,6911500.0,,2024-03-23T10:59:04.221Z,1711191544221,SHIB/USDT
69.999973308,2.7219e-05,2571732.0,,2024-03-23T10:59:11.819Z,1711191551819,SHIB/USDT
188.084173428,2.7213e-05,6911556.0,,2024-03-23T10:59:11.820Z,1711191551820,SHIB/USDT
388.254907404,2.7209e-05,14269356.0,,2024-03-23T10:59:11.828Z,1711191551828,SHIB/USDT
465.905883443,2.7209e-05,17123227.0,,2024-03-23T10:59:11.844Z,1711191551844,SHIB/USDT
287.955267,2.721e-05,10582700.0,,2024-03-23T10:59:11.968Z,1711191551968,SHIB/USDT
188.194758324,2.7229e-05,6911556.0,,2024-03-23T10:59:22.962Z,1711191562962,SHIB/USDT
7.968049499,2.7229e-05,292631.0,,2024-03-23T10:59:22.962Z,1711191562962,SHIB/USDT
3.56536526,2.7229e-05,130940.0,,2024-03-23T10:59:26.065Z,1711191566065,SHIB/USDT
165.815270453,2.7229e-05,6089657.0,,2024-03-23T10:59:26.958Z,1711191566958,SHIB/USDT
10.02053294,2.7236e-05,367915.0,,2024-03-23T10:59:38.586Z,1711191578586,SHIB/USDT
99.992637822,2.7237e-05,3671206.0,,2024-03-23T10:59:41.419Z,1711191581419,SHIB/USDT
2098.41552,2.7238e-05,77040000.0,,2024-03-23T10:59:41.419Z,1711191581419,SHIB/USDT
660.68636928,2.724e-05,24254272.0,,2024-03-23T10:59:44.380Z,1711191584380,SHIB/USDT
47.6525,2.723e-05,1750000.0,,2024-03-23T10:59:45.671Z,1711191585671,SHIB/USDT
47.6525,2.723e-05,1750000.0,,2024-03-23T10:59:45.955Z,1711191585955,SHIB/USDT
