cost,price,amount,type,datetime,timestamp,symbol
272.9112975392,2.732e-05,9989432.56,,2024-03-23T10:12:39.477Z,1711188759477,SHIB/USDT
11.004029224,2.731e-05,402930.4,,2024-03-23T10:12:47.899Z,1711188767899,SHIB/USDT
254.7627228964,2.732e-05,9325136.27,,2024-03-23T10:12:48.229Z,1711188768229,SHIB/USDT
10.653631,2.731e-05,390100.0,,2024-03-23T10:12:52.127Z,1711188772127,SHIB/USDT
0.0012619951,2.731e-05,46.21,,2024-03-23T10:12:53.513Z,1711188773513,SHIB/USDT
232.405382391,2.73e-05,8513017.67,,2024-03-23T10:12:54.004Z,1711188774004,SHIB/USDT
232.407269913,2.73e-05,8513086.81,,2024-03-23T10:12:54.319Z,1711188774319,SHIB/USDT
258.979581861,2.73e-05,9486431.57,,2024-03-23T10:12:54.923Z,1711188774923,SHIB/USDT
232.406083182,2.73e-05,8513043.34,,2024-03-23T10:12:54.957Z,1711188774957,SHIB/USDT
219.4491854544,2.728e-05,8044324.98,,2024-03-23T10:13:15.740Z,1711188795740,SHIB/USDT
197.7880956128,2.728e-05,7250296.76,,2024-03-23T10:13:15.842Z,1711188795842,SHIB/USDT
197.778841964,2.728e-05,7249957.55,,2024-03-23T10:13:16.705Z,1711188796705,SHIB/USDT
197.788025583,2.727e-05,7252952.9,,2024-03-23T10:13:19.803Z,1711188799803,SHIB/USDT
197.2262946708,2.727e-05,7232354.04,,2024-03-23T10:13:20.289Z,1711188800289,SHIB/USDT
254.2360663053,2.727e-05,9322921.39,,2024-03-23T10:13:20.583Z,1711188800583,SHIB/USDT
198.8279291277,2.727e-05,7291086.51,,2024-03-23T10:13:22.685Z,1711188802685,SHIB/USDT
232.0189832358,2.727e-05,8508213.54,,2024-03-23T10:13:23.204Z,1711188803204,SHIB/USDT
39.451509,2.727e-05,1446700.0,,2024-03-23T10:13:30.749Z,1711188810749,SHIB/USDT
6.7600396557,2.727e-05,247892.91,,2024-03-23T10:13:36.215Z,1711188816215,SHIB/USDT
277.5242239275,2.725e-05,10184375.19,,2024-03-23T10:13:36.991Z,1711188816991,SHIB/USDT
257.8591202725,2.725e-05,9462720.01,,2024-03-23T10:13:37.541Z,1711188817541,SHIB/USDT
12.28063,2.726e-05,450500.0,,2024-03-23T10:13:44.711Z,1711188824711,SHIB/USDT
196.1069158934,2.726e-05,7193944.09,,2024-03-23T10:13:45.108Z,1711188825108,SHIB/USDT
215.4328078422,2.726e-05,7902890.97,,2024-03-23T10:13:55.404Z,1711188835404,SHIB/USDT
197.288534941,2.726e-05,7237290.35,,2024-03-23T10:14:00.991Z,1711188840991,SHIB/USDT
231.4756588564,2.723e-05,8500758.68,,2024-03-23T10:14:25.662Z,1711188865662,SHIB/USDT
189.225079477,2.723e-05,6949139.9,,2024-03-23T10:14:26.720Z,1711188866720,SHIB/USDT
13.0,2.724e-05,477239.35389133624,,2024-03-23T10:14:36.102Z,1711188876102,SHIB/USDT
189.2297053536,2.724e-05,6946758.64,,2024-03-23T10:14:39.900Z,1711188879900,SHIB/USDT
190.277443194,2.724e-05,6985221.85,,2024-03-23T10:14:40.283Z,1711188880283,SHIB/USDT
187.9502834975,2.725e-05,6897258.11,,2024-03-23T10:15:05.933Z,1711188905933,SHIB/USDT
12.27162,2.724e-05,450500.0,,2024-03-23T10:15:09.481Z,1711188909481,SHIB/USDT
96.68838,2.724e-05,3549500.0,,2024-03-23T10:15:14.352Z,1711188914352,SHIB/USDT
229.797496517,2.722e-05,8442229.85,,2024-03-23T10:15:14.564Z,1711188914564,SHIB/USDT
192.9652001972,2.722e-05,7089096.26,,2024-03-23T10:15:14.607Z,1711188914607,SHIB/USDT
186.3252247136,2.722e-05,6845158.88,,2024-03-23T10:15:16.022Z,1711188916022,SHIB/USDT
234.5666933415,2.721e-05,8620606.15,,2024-03-23T10:15:19.466Z,1711188919466,SHIB/USDT
253.474248894,2.721e-05,9315481.4,,2024-03-23T10:15:23.364Z,1711188923364,SHIB/USDT
195.7914653184,2.722e-05,7192926.72,,2024-03-23T10:15:28.925Z,1711188928925,SHIB/USDT
191.9369663694,2.723e-05,7048731.78,,2024-03-23T10:15:37.925Z,1711188937925,SHIB/USDT
197.8884142585,2.723e-05,7267293.95,,2024-03-23T10:15:38.574Z,1711188938574,SHIB/USDT
211.8471465432,2.724e-05,7777061.18,,2024-03-23T10:15:39.533Z,1711188939533,SHIB/USDT
12.283356,2.726e-05,450600.0,,2024-03-23T10:15:56.114Z,1711188956114,SHIB/USDT
185.2540243044,2.726e-05,6795818.94,,2024-03-23T10:15:56.783Z,1711188956783,SHIB/USDT
