cost,price,amount,type,datetime,timestamp,symbol
553.26582425,2.725e-05,20303333.0,limit,2024-03-23T06:21:48.203Z,1711174908203,SHIB/USDT
249.45511508,2.726e-05,9150958.0,limit,2024-03-23T06:22:07.129Z,1711174927129,SHIB/USDT
613.92158768,2.726e-05,22520968.0,limit,2024-03-23T06:22:10.859Z,1711174930859,SHIB/USDT
590.2585992,2.726e-05,21652920.0,limit,2024-03-23T06:22:11.367Z,1711174931367,SHIB/USDT
366.061567,2.725e-05,13433452.0,limit,2024-03-23T06:22:42.419Z,1711174962419,SHIB/USDT
421.05045925,2.725e-05,15451393.0,limit,2024-03-23T06:22:57.748Z,1711174977748,SHIB/USDT
719.767114,2.728e-05,26384425.0,limit,2024-03-23T06:23:17.173Z,1711174997173,SHIB/USDT
647.0826144,2.726e-05,23737440.0,limit,2024-03-23T06:23:28.205Z,1711175008205,SHIB/USDT
287.99437624,2.726e-05,10564724.0,limit,2024-03-23T06:23:56.661Z,1711175036661,SHIB/USDT
27.1145675,2.725e-05,995030.0,limit,2024-03-23T06:23:57.172Z,1711175037172,SHIB/USDT
391.26637832,2.726e-05,14353132.0,limit,2024-03-23T06:24:10.888Z,1711175050888,SHIB/USDT
569.44515304,2.726e-05,20889404.0,limit,2024-03-23T06:24:15.204Z,1711175055204,SHIB/USDT
829.06380474,2.726e-05,30413199.0,limit,2024-03-23T06:24:19.365Z,1711175059365,SHIB/USDT
769.45037475,2.725e-05,28236711.0,limit,2024-03-23T06:24:20.420Z,1711175060420,SHIB/USDT
212.09005251,2.727e-05,7777413.0,limit,2024-03-23T06:24:36.718Z,1711175076718,SHIB/USDT
885.47350743,2.727e-05,32470609.0,limit,2024-03-23T06:24:41.637Z,1711175081637,SHIB/USDT
732.05724504,2.728e-05,26834943.0,limit,2024-03-23T06:24:43.220Z,1711175083220,SHIB/USDT
381.73024032,2.728e-05,13993044.0,limit,2024-03-23T06:24:45.359Z,1711175085359,SHIB/USDT
621.603238,2.725e-05,22811128.0,limit,2024-03-23T06:25:09.937Z,1711175109937,SHIB/USDT
276.91242296,2.726e-05,10158196.0,limit,2024-03-23T06:25:14.000Z,1711175114000,SHIB/USDT
0.54088056,2.728e-05,19827.0,limit,2024-03-23T06:26:04.680Z,1711175164680,SHIB/USDT
2.2092798,2.73e-05,80926.0,limit,2024-03-23T06:26:04.818Z,1711175164818,SHIB/USDT
305.89087121,2.731e-05,11200691.0,limit,2024-03-23T06:26:26.349Z,1711175186349,SHIB/USDT
265.05929568,2.732e-05,9702024.0,limit,2024-03-23T06:26:33.708Z,1711175193708,SHIB/USDT
323.110072,2.731e-05,11831200.0,limit,2024-03-23T06:26:37.328Z,1711175197328,SHIB/USDT
334.83893367,2.733e-05,12251699.0,limit,2024-03-23T06:27:10.687Z,1711175230687,SHIB/USDT
455.92195698,2.733e-05,16682106.0,limit,2024-03-23T06:27:15.408Z,1711175235408,SHIB/USDT
411.21256896,2.731e-05,15057216.0,limit,2024-03-23T06:27:24.887Z,1711175244887,SHIB/USDT
501.16785825,2.731e-05,18351075.0,limit,2024-03-23T06:27:35.385Z,1711175255385,SHIB/USDT
573.90043568,2.728e-05,21037406.0,limit,2024-03-23T06:27:49.614Z,1711175269614,SHIB/USDT
60.60063768,2.728e-05,2221431.0,limit,2024-03-23T06:27:51.868Z,1711175271868,SHIB/USDT
830.11912888,2.732e-05,30385034.0,limit,2024-03-23T06:28:05.269Z,1711175285269,SHIB/USDT
299.87440749,2.733e-05,10972353.0,limit,2024-03-23T06:28:13.141Z,1711175293141,SHIB/USDT
715.15356618,2.733e-05,26167346.0,limit,2024-03-23T06:28:17.858Z,1711175297858,SHIB/USDT
499.21710328,2.732e-05,18272954.0,limit,2024-03-23T06:28:31.027Z,1711175311027,SHIB/USDT
832.81842639,2.733e-05,30472683.0,limit,2024-03-23T06:28:38.976Z,1711175318976,SHIB/USDT
570.25467656,2.732e-05,20873158.0,limit,2024-03-23T06:28:49.173Z,1711175329173,SHIB/USDT
315.08461836,2.733e-05,11528892.0,limit,2024-03-23T06:29:00.275Z,1711175340275,SHIB/USDT
734.97813044,2.732e-05,26902567.0,limit,2024-03-23T06:29:03.365Z,1711175343365,SHIB/USDT
