symbol,cost,price,amount,datetime,type,timestamp
SHIB/USD,3.990000364037088,2.7332e-05,145982.744184,2024-03-21T22:26:14.627Z,,1711059974627
SHIB/USD,2.2953947346,2.7207e-05,84367.8,2024-03-21T22:30:42.836Z,,1711060242836
SHIB/USD,59.28139258104514,2.7185e-05,2180665.535444,2024-03-21T22:31:20.808Z,,1711060280808
SHIB/USD,81.432,2.7144e-05,3000000.0,2024-03-21T22:32:32.074Z,,1711060352074
SHIB/USD,1503.8129973474777,2.7213e-05,55260831.1229,2024-03-21T22:40:32.248Z,,1711060832248
SHIB/USD,107.27548582104063,2.7218e-05,3941343.442613,2024-03-21T22:45:35.804Z,,1711061135804
SHIB/USD,128.21032565083468,2.7108e-05,4729612.131136,2024-03-21T22:48:15.352Z,,1711061295352
SHIB/USD,452.52351,2.7081e-05,16710000.0,2024-03-21T22:52:25.216Z,,1711061545216
SHIB/USD,451.97208,2.7048e-05,16710000.0,2024-03-21T22:52:25.216Z,,1711061545216
SHIB/USD,69.3174733761136,2.7043e-05,2563231.645014,2024-03-21T22:52:25.216Z,,1711061545216
SHIB/USD,27.870248000585317,2.7122e-05,1027588.230978,2024-03-21T22:54:31.349Z,,1711061671349
SHIB/USD,18.41764692931883,2.7122e-05,679066.696015,2024-03-21T22:54:45.473Z,,1711061685473
SHIB/USD,17.92000955247747,2.7082e-05,661694.466896,2024-03-21T22:55:59.599Z,,1711061759599
SHIB/USD,6.666511080889126,2.7073e-05,246242.052262,2024-03-21T22:59:23.107Z,,1711061963107
SHIB/USD,93.0564006903283,2.7098e-05,3434068.960452,2024-03-21T23:01:21.896Z,,1711062081896
SHIB/USD,91.38527547957673,2.7049e-05,3378508.465362,2024-03-21T23:01:30.227Z,,1711062090227
SHIB/USD,185.62453277666245,2.7062e-05,6859231.866701,2024-03-21T23:03:32.704Z,,1711062212704
SHIB/USD,10.45743647259588,2.7057e-05,386496.52484,2024-03-21T23:06:15.608Z,,1711062375608
SHIB/USD,18.417694338507264,2.7136e-05,678718.099149,2024-03-21T23:17:44.224Z,,1711063064224
SHIB/USD,48.76546244999065,2.7121e-05,1798070.220493,2024-03-21T23:17:56.757Z,,1711063076757
SHIB/USD,8.964989714944352,2.7088e-05,330957.978254,2024-03-21T23:18:15.005Z,,1711063095005
SHIB/USD,3.889065131699572,2.7071e-05,143661.672332,2024-03-21T23:20:26.579Z,,1711063226579
