date,open,high,low,close,volume
1712510400000,0.20071,0.20072,0.20038,0.20044,415702.14515207
1712510460000,0.20043,0.20053,0.20026,0.20036,336538.88933392
1712510520000,0.20034,0.20064,0.20032,0.2006,363569.07982027
1712510580000,0.2006,0.2006,0.20004,0.20009,683959.54504327
1712510640000,0.20003,0.20016,0.19954,0.20014,3106190.40470289
1712510700000,0.20013,0.20017,0.20004,0.20013,354219.87218393
1712510760000,0.2001,0.2002,0.19995,0.20016,1021273.01642601
1712510820000,0.20016,0.20041,0.20016,0.20041,147815.70453195
1712510880000,0.2004,0.20042,0.20021,0.20042,289519.73331647
1712510940000,0.20037,0.20037,0.20009,0.20015,332120.48797119
1712511000000,0.20015,0.20036,0.20006,0.20007,335656.97971079
1712511060000,0.20006,0.2004,0.19996,0.20037,550118.96603906
1712511120000,0.20038,0.20038,0.1999,0.20003,583543.43289438
1712511180000,0.20002,0.20042,0.19991,0.20032,907306.34187523
1712511240000,0.20031,0.20038,0.2001,0.20028,515062.26589549
1712511300000,0.20027,0.20049,0.20012,0.20043,748037.04820625
1712511360000,0.20042,0.20047,0.20023,0.20045,464465.98729847
1712511420000,0.20043,0.2005,0.20023,0.20023,616925.61802672
1712511480000,0.20023,0.20041,0.20019,0.20021,389075.64444123
1712511540000,0.2002,0.20027,0.19992,0.2,443234.28832352
1712511600000,0.2,0.20002,0.1999,0.2,558809.67791376
1712511660000,0.19998,0.20001,0.19987,0.19994,590243.87481016
1712511720000,0.19992,0.19999,0.19982,0.1999,463493.77771166
1712511780000,0.19988,0.19994,0.19964,0.19967,422676.52220607
1712511840000,0.19965,0.20011,0.19958,0.19986,889309.6529842
1712511900000,0.19985,0.19997,0.19942,0.19943,680572.18694827
1712511960000,0.19943,0.19985,0.19943,0.19981,508610.33094151
1712512020000,0.19982,0.20042,0.19982,0.20031,859530.1492672
1712512080000,0.20032,0.20039,0.20005,0.20005,523685.85441776
1712512140000,0.20004,0.20004,0.19963,0.19975,477243.36455803
1712512200000,0.19976,0.20001,0.19975,0.1999,415380.66881531
1712512260000,0.1999,0.19994,0.19965,0.19971,389708.06705019
1712512320000,0.19968,0.20011,0.19968,0.20003,475093.55198695
1712512380000,0.20002,0.20006,0.19978,0.19994,597538.13344152
1712512440000,0.19994,0.19994,0.1996,0.19971,500748.91867734
1712512500000,0.19971,0.19971,0.19932,0.19941,658878.89551142
1712512560000,0.19941,0.1996,0.19932,0.1996,435177.77945774
