date,open,high,low,close,volume
1712510520000,0.20022,0.20022,0.20022,0.20022,50.0
1712510580000,0.19989,0.19992,0.19981,0.19992,173.377364
1712510640000,0.19987,0.19987,0.19987,0.19987,125.0
1712510760000,0.19986,0.19986,0.19986,0.19986,833.3333
1712511000000,0.19989,0.19989,0.19989,0.19989,50.0
1712511180000,0.19984,0.19984,0.19984,0.19984,135.472875
1712511480000,0.20013,0.20013,0.20013,0.20013,50.0
1712511540000,0.20019,0.20019,0.20019,0.20019,50.0
1712511600000,0.1998,0.1998,0.1998,0.1998,50.0
1712511660000,0.19984,0.19984,0.19984,0.19984,500.0
1712511780000,0.19948,0.19948,0.19944,0.19944,1050.0
1712511840000,0.19973,0.19984,0.19964,0.19969,1256.05289982
1712511900000,0.1998,0.1998,0.19933,0.19933,200.0
1712511960000,0.1996,0.1996,0.1996,0.1996,100.0
1712512020000,0.20023,0.20023,0.20023,0.20023,750.0
1712512140000,0.19992,0.19992,0.19992,0.19992,211.9096
1712512440000,0.19945,0.19945,0.19945,0.19945,750.0
1712512860000,0.19981,0.19981,0.19975,0.19975,2499.9999
1712512920000,0.19894,0.19894,0.19842,0.19842,2833.3333000000002
1712512980000,0.19812,0.19812,0.19739,0.19762,6957.52899944
1712513040000,0.19772,0.19795,0.19772,0.19795,500.0
1712513100000,0.19796,0.19796,0.19796,0.19796,100.0
1712513160000,0.19794,0.19794,0.19794,0.19794,31.0
1712513220000,0.19815,0.19829,0.19815,0.19822,400.0
1712513280000,0.19838,0.19882,0.19838,0.19882,300.0
1712513340000,0.19878,0.19878,0.19846,0.19846,550.0
1712513460000,0.19838,0.19838,0.19809,0.19809,500.0
1712513520000,0.19845,0.19845,0.19845,0.19845,50.0
1712513580000,0.19767,0.19767,0.19767,0.19767,250.0
1712513640000,0.19781,0.19821,0.19781,0.19821,2117.82368891
1712513700000,0.19811,0.19811,0.19811,0.19811,83.7673
1712513760000,0.19821,0.19821,0.19821,0.19821,147.06627807
1712514060000,0.19802,0.19802,0.19802,0.19802,528.27379
1712514300000,0.19748,0.19748,0.19727,0.19727,100.0
1712514360000,0.19752,0.19752,0.19752,0.19752,3000.0
1712514420000,0.19753,0.19753,0.19753,0.19753,650.32754262
1712514600000,0.19716,0.19716,0.19716,0.19716,50.0
1712514660000,0.19769,0.19769,0.19769,0.19769,50.0
1712514720000,0.1971,0.1971,0.1971,0.1971,100.0
1712514780000,0.19678,0.19695,0.19678,0.19695,400.0
1712514840000,0.19724,0.19724,0.19703,0.19703,80.0
1712514900000,0.19709,0.19722,0.19709,0.19722,100.0
1712514960000,0.19674,0.19674,0.19674,0.19674,100.0
1712515020000,0.19712,0.19712,0.19658,0.19658,350.0
1712515080000,0.1966,0.1966,0.1966,0.1966,50.0
1712515140000,0.19672,0.19672,0.19672,0.19672,500.0
1712515200000,0.19657,0.19739,0.19657,0.19732,1150.0
1712515260000,0.1972,0.19752,0.1972,0.1975,989.15404
1712515380000,0.19761,0.19761,0.19761,0.19761,1000.0
1712515440000,0.1978,0.19781,0.1978,0.19781,6000.0
1712515500000,0.19792,0.19792,0.19792,0.19792,50.0
1712515860000,0.19833,0.19833,0.19833,0.19833,100.0
1712515920000,0.19825,0.19825,0.19825,0.19825,50.0
1712515980000,0.19812,0.19812,0.19812,0.19812,1666.6666
1712516040000,0.19827,0.19827,0.19827,0.19827,50.0
1712516400000,0.19774,0.19774,0.19745,0.19745,10100.0
1712516460000,0.19751,0.19756,0.19751,0.19756,10050.0
1712516520000,0.19743,0.19743,0.19743,0.19743,50.0
1712516580000,0.19742,0.19742,0.19742,0.19742,10000.0
1712516640000,0.19739,0.19739,0.19739,0.19739,6000.0
1712516700000,0.19731,0.19731,0.19707,0.19707,10100.0
1712516820000,0.19699,0.19699,0.19699,0.19699,6096.67562785
1712516880000,0.19699,0.19699,0.19696,0.19696,13903.32437215
1712517300000,0.1972,0.1972,0.19708,0.19708,3334.5924
1712517420000,0.19709,0.19724,0.19702,0.19702,2686.17405337
1712517480000,0.19669,0.19696,0.19669,0.19696,125.00291984
1712517540000,0.19723,0.19726,0.19723,0.19726,1666.6666
1712517660000,0.19775,0.19775,0.19775,0.19775,750.0
1712517720000,0.1978,0.19809,0.1978,0.19809,15175.19949237
1712517900000,0.19779,0.19794,0.19766,0.19766,148.16093488
1712517960000,0.19745,0.19745,0.1974,0.1974,200.0
1712518200000,0.19762,0.19762,0.19762,0.19762,773.4761
1712518380000,0.19771,0.19864,0.19771,0.19864,550.0
1712518500000,0.19805,0.19836,0.19805,0.19836,1739.526
1712518560000,0.1985,0.1985,0.1985,0.1985,150.0
1712519160000,0.19833,0.19833,0.19833,0.19833,500.0
1712519340000,0.19785,0.19785,0.19785,0.19785,50.0
1712519460000,0.19757,0.19757,0.19757,0.19757,50.0
1712519520000,0.19738,0.19738,0.19695,0.19695,1209.6195
1712519580000,0.19639,0.19654,0.19625,0.19654,3450.0
1712519640000,0.1968,0.19699,0.19637,0.19637,2000.0
1712519700000,0.19684,0.19684,0.19684,0.19684,50.0
1712519760000,0.19664,0.19676,0.19664,0.19676,1000.0
1712520000000,0.1965,0.19658,0.1965,0.19658,156.60081750999998
1712520120000,0.19712,0.19712,0.19712,0.19712,50.0
1712520180000,0.19713,0.19713,0.19713,0.19713,970.81145131
1712520240000,0.197,0.197,0.197,0.197,46099.0714002
