date,open,high,low,close,volume
1712510400000,0.20064,0.200677,0.200309,0.200339,136996.5423
1712510460000,0.200339,0.200465,0.200169,0.200262,294251.5813
1712510520000,0.200262,0.200616,0.200219,0.200519,370364.0659
1712510580000,0.200519,0.200536,0.199927,0.19993,622246.0891
1712510640000,0.19993,0.200121,0.199859,0.200036,237075.1512
1712510700000,0.200036,0.200138,0.199985,0.200046,163544.0585
1712510760000,0.200046,0.200148,0.199885,0.200093,458346.7453
1712510820000,0.200093,0.200357,0.200066,0.200343,259680.4792
1712510880000,0.200343,0.200387,0.200115,0.200288,158826.4852
1712510940000,0.200288,0.200313,0.200023,0.200083,144581.4145
1712511000000,0.200083,0.200304,0.199997,0.200016,122527.1599
1712511060000,0.200016,0.200303,0.199853,0.200303,265072.1928
1712511120000,0.200303,0.200304,0.199849,0.199943,441962.392
1712511180000,0.199943,0.20037,0.199859,0.200285,266377.7423
1712511240000,0.200285,0.200335,0.200014,0.200246,215943.1532
1712511300000,0.200246,0.200439,0.200077,0.200403,347151.8701
1712511360000,0.200403,0.20045,0.200175,0.200416,179118.8749
1712511420000,0.200416,0.200472,0.200177,0.200192,234719.7454
1712511480000,0.200192,0.200376,0.20015,0.200183,285363.0509
1712511540000,0.200183,0.200237,0.199876,0.19997,167058.9811
1712511600000,0.19997,0.200017,0.199847,0.19993,364844.1156
1712511660000,0.19993,0.199971,0.19988,0.199912,297003.0245
1712511720000,0.199912,0.199968,0.199813,0.199852,278669.018
1712511780000,0.199852,0.199924,0.199634,0.199637,115223.589
1712511840000,0.199637,0.200043,0.19953,0.199841,307212.2392
1712511900000,0.199841,0.199946,0.19937,0.199389,233323.5926
1712511960000,0.199389,0.199843,0.199389,0.199759,412096.7721
1712512020000,0.199759,0.200416,0.199759,0.200234,372962.7626
1712512080000,0.200234,0.200395,0.199998,0.200024,247773.4965
1712512140000,0.200024,0.200024,0.199598,0.199743,451191.2155
1712512200000,0.199743,0.200006,0.199689,0.199857,230800.4751
1712512260000,0.199857,0.199913,0.199602,0.199621,309396.9757
1712512320000,0.199621,0.200098,0.199621,0.200036,343097.2744
1712512380000,0.200036,0.200038,0.199755,0.199956,238938.6901
1712512440000,0.199956,0.199956,0.199592,0.199732,383959.4046
1712512500000,0.199732,0.199732,0.199267,0.19939,490029.0178
1712512560000,0.19939,0.199583,0.199287,0.199549,453292.3874
1712512620000,0.199549,0.199747,0.19935,0.199623,244106.7981
1712512680000,0.199623,0.199861,0.199601,0.199776,378274.0885
1712512740000,0.199776,0.199962,0.19974,0.199794,103798.6498
1712512800000,0.199794,0.199943,0.199616,0.199685,368631.2681
1712512860000,0.199685,0.200023,0.199265,0.199327,1136352.6828
1712512920000,0.199327,0.199335,0.19862,0.19862,1569226.3931
1712512980000,0.19862,0.198621,0.197586,0.197883,2066580.1886
1712513040000,0.197883,0.198399,0.197883,0.198183,2113234.3388
1712513100000,0.198183,0.198264,0.197904,0.197905,507728.4855
1712513160000,0.197905,0.19808,0.197891,0.197936,388344.1023
1712513220000,0.197936,0.198415,0.197916,0.198325,333994.9856
1712513280000,0.198325,0.198844,0.198313,0.198667,409158.6154
1712513340000,0.198667,0.19881,0.198393,0.198393,217408.208
1712513400000,0.198393,0.19872,0.198309,0.19867,356801.3852
1712513460000,0.19867,0.198949,0.198198,0.198408,1034129.2361
1712513520000,0.198408,0.19843,0.198184,0.198318,975838.5849
1712513580000,0.198318,0.198318,0.197848,0.197879,489444.7523
1712513640000,0.197879,0.198276,0.197854,0.198266,561486.6396
1712513700000,0.198266,0.198303,0.198026,0.198126,294779.9168
1712513760000,0.198126,0.198297,0.198,0.198033,332334.6102
1712513820000,0.198033,0.198105,0.197883,0.197939,352699.7611
1712513880000,0.197939,0.198188,0.197938,0.198105,181777.2993
1712513940000,0.198105,0.198132,0.197919,0.197952,327725.7821
1712514000000,0.197952,0.198084,0.197932,0.198082,147249.3682
1712514060000,0.198082,0.198264,0.197988,0.19804,173253.5913
1712514120000,0.19804,0.198256,0.197887,0.198147,197773.0475
1712514180000,0.198147,0.198269,0.1981,0.198155,322525.5742
1712514240000,0.198155,0.198214,0.197848,0.197848,341103.2512
1712514300000,0.197848,0.197848,0.197463,0.197595,375954.0219
1712514360000,0.197595,0.197634,0.19742,0.197454,293253.9846
1712514420000,0.197454,0.197634,0.197374,0.197448,279478.7543
1712514480000,0.197448,0.197617,0.197444,0.19761,360587.1206
1712514540000,0.19761,0.197634,0.197486,0.197552,176431.1919
1712514600000,0.197552,0.197633,0.197333,0.197625,159899.002
1712514660000,0.197625,0.197746,0.197373,0.19742,116856.8689
1712514720000,0.19742,0.197544,0.1972,0.1972,175597.7009
1712514780000,0.1972,0.197227,0.196935,0.196946,374863.7902
1712514840000,0.196946,0.197273,0.196941,0.196995,114153.3012
1712514900000,0.196995,0.197254,0.196995,0.197107,153315.3345
1712514960000,0.197107,0.197169,0.196837,0.196873,133013.8916
1712515020000,0.196873,0.197155,0.196759,0.196829,337551.3391
1712515080000,0.196829,0.196924,0.1967,0.196776,266507.0943
1712515140000,0.196776,0.19693,0.196701,0.196812,124174.7433
1712515200000,0.196812,0.197469,0.196701,0.197313,809531.8925
1712515260000,0.197313,0.197625,0.197313,0.197483,1098374.4431
1712515320000,0.197483,0.197671,0.197455,0.197471,364087.7103
1712515380000,0.197471,0.197848,0.197439,0.197847,240154.1277
1712515440000,0.197847,0.197943,0.197735,0.197747,119236.7167
1712515500000,0.197747,0.198131,0.19761,0.198107,134296.2113
1712515560000,0.198107,0.198199,0.197823,0.197864,213699.9882
1712515620000,0.197864,0.197947,0.197761,0.197863,426964.7465
1712515680000,0.197863,0.197997,0.197806,0.197893,154941.4859
1712515740000,0.197893,0.1982,0.197861,0.198066,375399.4001
1712515800000,0.198066,0.198088,0.19789,0.198033,234249.6742
1712515860000,0.198033,0.198325,0.19802,0.198302,102423.5981
1712515920000,0.198302,0.198302,0.198092,0.198123,224629.1697
1712515980000,0.198123,0.198373,0.198029,0.198373,291230.9467
1712516040000,0.198373,0.198384,0.197937,0.197937,97044.7053
1712516100000,0.197937,0.198027,0.197849,0.197936,226110.791
1712516160000,0.197936,0.198158,0.197848,0.197848,199549.9227
1712516220000,0.197848,0.19819,0.197838,0.198005,240173.8367
1712516280000,0.198005,0.198112,0.197813,0.19784,129131.3552
1712516340000,0.19784,0.197961,0.197773,0.19782,289860.4907
1712516400000,0.19782,0.19782,0.197538,0.197692,258614.6308
1712516460000,0.197692,0.197701,0.197464,0.197493,161757.4348
1712516520000,0.197493,0.197702,0.19747,0.197702,98141.6179
1712516580000,0.197702,0.197702,0.197374,0.19744,108580.441
1712516640000,0.19744,0.197564,0.197391,0.197468,209268.2293
1712516700000,0.197468,0.197521,0.197181,0.197247,291628.9938
1712516760000,0.197247,0.197328,0.197,0.197075,350968.2211
1712516820000,0.197075,0.197156,0.196991,0.196991,211444.2615
1712516880000,0.196991,0.197064,0.196857,0.196966,155651.4437
1712516940000,0.196966,0.196995,0.1967,0.196706,229820.2307
1712517000000,0.196706,0.197008,0.1967,0.196759,131224.057
1712517060000,0.196759,0.197194,0.196759,0.196997,307151.4628
1712517120000,0.196997,0.197316,0.196997,0.197301,187870.7588
1712517180000,0.197301,0.197326,0.197081,0.197081,163340.0148
1712517240000,0.197081,0.197522,0.196971,0.197522,223041.8663
1712517300000,0.197522,0.197522,0.197059,0.197129,251266.2409
1712517360000,0.197129,0.197262,0.197035,0.19724,370814.618
1712517420000,0.19724,0.19737,0.196927,0.196937,237364.9765
1712517480000,0.196937,0.197122,0.196775,0.197122,164599.744
1712517540000,0.197122,0.197338,0.196948,0.19732,251816.7966
1712517600000,0.19732,0.197591,0.197305,0.197476,256817.9215
1712517660000,0.197476,0.197848,0.19746,0.197787,181822.688
1712517720000,0.197787,0.198259,0.197739,0.198119,326131.5955
1712517780000,0.198119,0.198264,0.197762,0.197817,336866.5061
1712517840000,0.197817,0.198103,0.197817,0.198083,180911.0691
1712517900000,0.198083,0.198095,0.19763,0.197665,193861.9325
1712517960000,0.197665,0.197696,0.197523,0.197665,259893.053
1712518020000,0.197665,0.197846,0.197654,0.197821,76571.044
1712518080000,0.197821,0.197821,0.197617,0.197699,387423.6018
1712518140000,0.197699,0.197728,0.197546,0.197622,185429.0914
1712518200000,0.197622,0.197846,0.197524,0.197806,219061.2514
1712518260000,0.197806,0.19792,0.197781,0.197868,130320.0135
1712518320000,0.197868,0.197874,0.197605,0.197831,268227.3821
1712518380000,0.197831,0.198571,0.197694,0.198436,763825.8201
1712518440000,0.198436,0.198447,0.197871,0.197893,341304.5684
1712518500000,0.197893,0.198427,0.197858,0.198221,319981.6767
1712518560000,0.198221,0.198431,0.198186,0.19843,249960.6241
1712518620000,0.19843,0.1985,0.198224,0.198461,155464.3111
1712518680000,0.198461,0.1985,0.197931,0.198085,344338.5408
1712518740000,0.198085,0.198093,0.197894,0.197908,117482.5011
1712518800000,0.197908,0.198271,0.197908,0.198133,93797.3983
1712518860000,0.198133,0.198177,0.198043,0.198144,101754.1845
1712518920000,0.198144,0.198242,0.198062,0.198134,123540.4483
1712518980000,0.198134,0.198488,0.198134,0.198488,224101.1092
1712519040000,0.198488,0.1985,0.198214,0.198272,124256.9884
1712519100000,0.198272,0.19857,0.198228,0.198507,291907.8357
1712519160000,0.198507,0.198507,0.198123,0.198129,255659.7985
1712519220000,0.198129,0.198349,0.198128,0.198295,151671.0459
1712519280000,0.198295,0.198381,0.198095,0.198161,225058.614
1712519340000,0.198161,0.198161,0.197942,0.198026,216181.7973
1712519400000,0.198026,0.198112,0.197783,0.197794,337311.663
1712519460000,0.197794,0.198001,0.197734,0.197847,122012.6079
1712519520000,0.197847,0.197875,0.197048,0.197051,507565.4814
1712519580000,0.197051,0.197137,0.196458,0.196878,999197.2103
1712519640000,0.196878,0.197077,0.196433,0.1967,728785.5314
1712519700000,0.1967,0.196977,0.196636,0.196774,719576.6588
1712519760000,0.196774,0.197158,0.196664,0.197129,330348.2352
1712519820000,0.197129,0.197182,0.196874,0.197047,216422.8461
1712519880000,0.197047,0.197047,0.196761,0.196772,112717.1827
1712519940000,0.196772,0.19696,0.196757,0.196878,224224.9756
1712520000000,0.196878,0.196879,0.196492,0.196755,308977.2519
1712520060000,0.196755,0.197075,0.196574,0.197041,171727.8556
1712520120000,0.197041,0.197238,0.196843,0.19722,350164.8139
1712520180000,0.19722,0.197305,0.196876,0.197084,292996.9931
1712520240000,0.197084,0.197241,0.197046,0.197168,92075.0105
1712520300000,0.197168,0.197368,0.197168,0.197254,236329.4428
1712520360000,0.197254,0.197472,0.197254,0.19738,171353.1114
1712520420000,0.19738,0.197596,0.197248,0.197344,255364.8568
1712520480000,0.197344,0.197596,0.197344,0.19752,90877.3613
1712520540000,0.19752,0.19759,0.197348,0.197588,107202.1049
1712520600000,0.197588,0.197669,0.197487,0.197668,73912.6126
1712520660000,0.197668,0.19794,0.197605,0.197876,182517.0355
1712520720000,0.197876,0.198,0.197876,0.197999,122225.0373
1712520780000,0.197999,0.198,0.197847,0.197893,189089.3607
1712520840000,0.197893,0.197965,0.197749,0.19795,138050.2962
1712520900000,0.19795,0.19795,0.197582,0.197715,166896.4347
1712520960000,0.197715,0.198,0.197653,0.197995,151260.8009
1712521020000,0.197995,0.198299,0.197957,0.198201,272156.436
1712521080000,0.198201,0.198496,0.198201,0.198306,278195.7074
1712521140000,0.198306,0.198306,0.198037,0.19808,230684.7853
1712521200000,0.19808,0.198084,0.197765,0.197897,188154.1024
1712521260000,0.197897,0.198069,0.197778,0.198001,234910.5541
1712521320000,0.198001,0.19821,0.197895,0.198177,151864.1647
1712521380000,0.198177,0.198185,0.197914,0.197963,96896.8035
1712521440000,0.197963,0.197974,0.19783,0.197885,205214.6168
1712521500000,0.197885,0.197945,0.197657,0.197725,136178.1593
1712521560000,0.197725,0.197822,0.197626,0.197676,211688.4729
1712521620000,0.197676,0.197989,0.197648,0.197905,183718.3497
1712521680000,0.197905,0.198156,0.197844,0.198063,295791.1512
1712521740000,0.198063,0.198081,0.19785,0.197895,128799.0948
1712521800000,0.197895,0.198309,0.197895,0.198175,186781.5459
1712521860000,0.198175,0.198249,0.197999,0.198238,153813.8856
1712521920000,0.198238,0.198333,0.198208,0.19827,96586.2456
1712521980000,0.19827,0.198516,0.19826,0.198442,164681.1761
1712522040000,0.198442,0.198534,0.198426,0.198476,180697.6137
1712522100000,0.198476,0.198654,0.198374,0.198558,356254.1262
1712522160000,0.198558,0.198626,0.198325,0.19856,131962.7078
1712522220000,0.19856,0.198604,0.198341,0.198343,204347.7261
1712522280000,0.198343,0.198477,0.198248,0.198425,219798.3934
1712522340000,0.198425,0.198716,0.198395,0.198715,231921.4308
1712522400000,0.198715,0.198734,0.198584,0.198587,241788.5883
1712522460000,0.198587,0.198613,0.198346,0.198381,107269.2006
1712522520000,0.198381,0.198589,0.198339,0.198518,93333.2097
1712522580000,0.198518,0.198699,0.198454,0.19869,255540.3349
1712522640000,0.19869,0.1994,0.198591,0.199161,1147420.5349
1712522700000,0.199161,0.199356,0.198929,0.199314,592401.8959
1712522760000,0.199314,0.199898,0.199235,0.199815,1181280.0039
1712522820000,0.199815,0.200079,0.199611,0.199766,609261.7927
1712522880000,0.199766,0.199806,0.199546,0.199686,182505.8224
1712522940000,0.199686,0.199872,0.199494,0.199734,95669.0763
1712523000000,0.199734,0.199755,0.199455,0.199497,112694.6061
1712523060000,0.199497,0.19955,0.199246,0.199246,158342.5756
1712523120000,0.199246,0.199315,0.199096,0.199178,142849.5892
1712523180000,0.199178,0.199178,0.199001,0.199002,129178.873
1712523240000,0.199002,0.199003,0.198598,0.198648,127344.0987
1712523300000,0.198648,0.198936,0.198613,0.198936,97197.6278
1712523360000,0.198936,0.198996,0.198735,0.198975,111785.4182
1712523420000,0.198975,0.199001,0.198751,0.198764,157497.0004
1712523480000,0.198764,0.198781,0.198571,0.198626,86779.4923
1712523540000,0.198626,0.19874,0.198578,0.198599,166822.1161
1712523600000,0.198599,0.198884,0.198575,0.198796,75172.163
1712523660000,0.198796,0.199208,0.198737,0.19908,172332.5018
1712523720000,0.19908,0.19908,0.19881,0.198916,151694.2311
1712523780000,0.198916,0.198924,0.198627,0.198709,113542.7074
1712523840000,0.198709,0.198746,0.198501,0.198507,79803.3086
1712523900000,0.198507,0.19852,0.198206,0.198416,173718.2672
1712523960000,0.198416,0.198686,0.198361,0.198644,162282.3503
1712524020000,0.198644,0.198937,0.198601,0.198688,74804.7225
1712524080000,0.198688,0.1988,0.198514,0.1988,145286.6349
1712524140000,0.1988,0.199304,0.198761,0.199074,387703.5824
1712524200000,0.199074,0.199292,0.198937,0.199225,209488.9895
1712524260000,0.199225,0.199336,0.199124,0.199184,154890.7111
1712524320000,0.199184,0.199278,0.198931,0.198973,269644.9714
1712524380000,0.198973,0.19899,0.198858,0.198948,117771.2226
1712524440000,0.198948,0.199003,0.198781,0.19881,45521.706
1712524500000,0.19881,0.199242,0.198765,0.199169,167647.4579
1712524560000,0.199169,0.19931,0.199099,0.19926,188095.6791
1712524620000,0.19926,0.199462,0.199231,0.199429,140043.2972
1712524680000,0.199429,0.19958,0.199417,0.199573,118031.4153
1712524740000,0.199573,0.19962,0.199475,0.199598,64135.9674
1712524800000,0.199598,0.199875,0.199545,0.19983,173547.427
1712524860000,0.19983,0.199845,0.19965,0.199651,165782.9834
1712524920000,0.199651,0.199651,0.199514,0.199519,147339.3803
1712524980000,0.199519,0.199554,0.199391,0.199391,137820.5539
1712525040000,0.199391,0.199611,0.199356,0.199384,220564.3091
1712525100000,0.199384,0.199489,0.199321,0.199395,90409.3676
1712525160000,0.199395,0.199693,0.199385,0.199637,154527.4471
1712525220000,0.199637,0.199637,0.199376,0.199379,127216.3737
1712525280000,0.199379,0.199391,0.198905,0.198905,202253.9909
1712525340000,0.198905,0.199201,0.198905,0.199096,140516.6631
1712525400000,0.199096,0.199203,0.199096,0.199189,62662.1733
1712525460000,0.199189,0.199493,0.199167,0.199457,106281.5635
1712525520000,0.199457,0.199484,0.199004,0.199054,52664.2026
1712525580000,0.199054,0.199175,0.198965,0.199098,118058.0856
1712525640000,0.199098,0.199133,0.198889,0.198898,143904.0304
1712525700000,0.198898,0.199027,0.198851,0.198962,132318.4253
