date,open,high,low,close,volume
1712510400000,0.20063,0.20063,0.20044,0.20044,214930.7666
1712510460000,0.20033,0.20034,0.2002,0.20028,43340.9558
1712510520000,0.20032,0.20062,0.20028,0.20057,36169.2144
1712510580000,0.20044,0.20044,0.1999,0.20003,172251.9605
1712510640000,0.19994,0.20002,0.19968,0.20001,122078.0202
1712510700000,0.2,0.20012,0.19999,0.20007,44676.6289
1712510760000,0.20003,0.20012,0.19991,0.20011,266261.458
1712510820000,0.20008,0.20028,0.20008,0.20028,117430.0256
1712510880000,0.20033,0.2004,0.20007,0.2004,273859.8843
1712510940000,0.20012,0.2002,0.20005,0.20005,32035.8727
1712511000000,0.20018,0.20033,0.2,0.2,152285.7896
1712511060000,0.2,0.20033,0.19983,0.20033,109175.1153
1712511120000,0.20022,0.20022,0.19986,0.19996,193002.237
1712511180000,0.19996,0.20038,0.19987,0.20033,302834.5673
1712511240000,0.20012,0.20029,0.20005,0.20029,86165.7532
1712511300000,0.20041,0.20041,0.20035,0.20035,3593.6661
1712511360000,0.20038,0.20038,0.20028,0.20038,45277.6567
1712511420000,0.20044,0.20045,0.20027,0.20027,104309.4446
1712511480000,0.20023,0.20039,0.20017,0.20018,15481.2556
1712511540000,0.20019,0.20019,0.1999,0.19997,19196.2592
1712511600000,0.19997,0.19997,0.19987,0.19992,35864.6148
1712511660000,0.19989,0.19995,0.19989,0.19989,115211.956
1712511720000,0.19989,0.19991,0.19981,0.19982,34375.5226
1712511780000,0.19982,0.19987,0.19956,0.19956,344594.1656
1712511840000,0.19959,0.20008,0.19955,0.19981,129860.7353
1712511900000,0.19979,0.19995,0.19938,0.19938,107354.0906
1712511960000,0.19942,0.19979,0.19942,0.19979,84254.8367
1712512020000,0.1998,0.2004,0.1998,0.20022,133102.2031
1712512080000,0.20024,0.20038,0.20012,0.20012,64373.7642
1712512140000,0.2,0.2,0.19956,0.19961,89069.4768
1712512200000,0.19974,0.1999,0.19971,0.19985,13861.8864
1712512260000,0.19964,0.19967,0.19959,0.19962,11372.2186
1712512320000,0.19971,0.20004,0.19971,0.20002,92699.0114
1712512380000,0.19994,0.19994,0.1998,0.1998,4753.0726
