date,open,high,low,close,volume
1712510520000,2.874e-05,2.874e-05,2.874e-05,2.874e-05,232135.75313795
1712511420000,2.862e-05,2.862e-05,2.862e-05,2.862e-05,191904.04631516
1712512020000,2.86e-05,2.86e-05,2.859e-05,2.859e-05,33333333.3332
1712512260000,2.854e-05,2.854e-05,2.854e-05,2.854e-05,2774331.3483764
1712512740000,2.848e-05,2.848e-05,2.848e-05,2.848e-05,14814698.0
1712513040000,2.836e-05,2.837e-05,2.836e-05,2.837e-05,17046150.27259549
1712514120000,2.84e-05,2.84e-05,2.84e-05,2.84e-05,165683.98919619
1712514180000,2.841e-05,2.841e-05,2.841e-05,2.841e-05,240654.27281182
1712514420000,2.84e-05,2.84e-05,2.84e-05,2.84e-05,170934.17788695
1712514660000,2.838e-05,2.838e-05,2.838e-05,2.838e-05,2635845.07498111
1712514780000,2.829e-05,2.829e-05,2.829e-05,2.829e-05,20000000.0
1712515920000,2.836e-05,2.836e-05,2.836e-05,2.836e-05,143688.61562197
1712515980000,2.839e-05,2.84e-05,2.839e-05,2.84e-05,51587994.95205437
1712516220000,2.838e-05,2.84e-05,2.838e-05,2.84e-05,1518481.4260308002
1712516460000,2.833e-05,2.833e-05,2.833e-05,2.833e-05,15320961.004928
1712516640000,2.829e-05,2.829e-05,2.829e-05,2.829e-05,16666666.6666
1712516760000,2.828e-05,2.828e-05,2.828e-05,2.828e-05,16666666.6666
1712517360000,2.823e-05,2.823e-05,2.823e-05,2.823e-05,752170.94397153
1712517420000,2.823e-05,2.823e-05,2.818e-05,2.818e-05,34620524.7846
1712518320000,2.827e-05,2.827e-05,2.827e-05,2.827e-05,250555.94249688
1712518620000,2.827e-05,2.827e-05,2.825e-05,2.825e-05,16523478.54344306
1712519460000,2.82e-05,2.82e-05,2.82e-05,2.82e-05,11249497.112324
1712520300000,2.818e-05,2.818e-05,2.818e-05,2.818e-05,2000000.0
1712520840000,2.825e-05,2.825e-05,2.825e-05,2.825e-05,1461905.002263
1712521800000,2.829e-05,2.829e-05,2.829e-05,2.829e-05,727512.53091992
1712522160000,2.832e-05,2.833e-05,2.832e-05,2.833e-05,16451286.751547
1712522400000,2.828e-05,2.828e-05,2.828e-05,2.828e-05,8000000.0
1712524020000,2.823e-05,2.823e-05,2.823e-05,2.823e-05,193190.00881951
1712524440000,2.827e-05,2.827e-05,2.827e-05,2.827e-05,3000000.0
1712524980000,2.826e-05,2.826e-05,2.826e-05,2.826e-05,2647496.2386129
1712525820000,2.811e-05,2.811e-05,2.811e-05,2.811e-05,166804.25451926
1712527020000,2.806e-05,2.806e-05,2.806e-05,2.806e-05,145700.0026167
1712527380000,2.794e-05,2.794e-05,2.794e-05,2.794e-05,378710.57513915
