date,open,high,low,close,volume
1712510400000,2.87445e-05,2.87488e-05,2.87097e-05,2.87226e-05,975471249.686
1712510460000,2.87226e-05,2.87348e-05,2.87e-05,2.87127e-05,821938333.2055
1712510520000,2.87127e-05,2.87407e-05,2.87008e-05,2.87217e-05,993292832.5543
1712510580000,2.87217e-05,2.87328e-05,2.86934e-05,2.87139e-05,1748274963.3468
1712510640000,2.87139e-05,2.87196e-05,2.86854e-05,2.87191e-05,1439113732.9482
1712510700000,2.87191e-05,2.87191e-05,2.87003e-05,2.87047e-05,811266042.1758
1712510760000,2.87047e-05,2.87105e-05,2.86608e-05,2.86627e-05,779745126.2543
1712510820000,2.86627e-05,2.86872e-05,2.86559e-05,2.86763e-05,1320347763.5617
1712510880000,2.86763e-05,2.86884e-05,2.86423e-05,2.86773e-05,1294733676.4816
1712510940000,2.86773e-05,2.86874e-05,2.86413e-05,2.86573e-05,1253351313.3494
1712511000000,2.86573e-05,2.86893e-05,2.86272e-05,2.86413e-05,1688250813.4292
1712511060000,2.86413e-05,2.86803e-05,2.86167e-05,2.86598e-05,1449016469.7426
1712511120000,2.86598e-05,2.86686e-05,2.85964e-05,2.86027e-05,1415507491.59
1712511180000,2.86027e-05,2.86619e-05,2.85937e-05,2.86477e-05,1717079254.656
1712511240000,2.86477e-05,2.86527e-05,2.86137e-05,2.86268e-05,1637083825.4432
1712511300000,2.86268e-05,2.86458e-05,2.86061e-05,2.8629e-05,1199782981.3584
1712511360000,2.8629e-05,2.86409e-05,2.85986e-05,2.86406e-05,960532243.9908
1712511420000,2.86406e-05,2.86435e-05,2.85958e-05,2.85958e-05,1238225070.3029
1712511480000,2.85958e-05,2.86233e-05,2.85947e-05,2.85994e-05,844473569.7476
1712511540000,2.85994e-05,2.86115e-05,2.85634e-05,2.85683e-05,491465853.2728
1712511600000,2.85683e-05,2.85841e-05,2.85454e-05,2.85683e-05,641098015.4576
1712511660000,2.85683e-05,2.85697e-05,2.85484e-05,2.85611e-05,841209846.1518
1712511720000,2.85611e-05,2.85692e-05,2.85336e-05,2.85351e-05,1434116469.4716
1712511780000,2.85351e-05,2.85451e-05,2.84976e-05,2.85021e-05,1776459040.4368
1712511840000,2.85021e-05,2.85854e-05,2.85019e-05,2.85496e-05,1425438304.5359
1712511900000,2.85496e-05,2.85667e-05,2.85078e-05,2.85078e-05,706041396.7981
1712511960000,2.85078e-05,2.85699e-05,2.85078e-05,2.85618e-05,1257603937.3213
1712512020000,2.85618e-05,2.8611e-05,2.85503e-05,2.859e-05,1144763199.4481
1712512080000,2.859e-05,2.85995e-05,2.85493e-05,2.85506e-05,815781894.4424
1712512140000,2.85506e-05,2.85722e-05,2.85314e-05,2.85446e-05,1354433910.0869
1712512200000,2.85446e-05,2.85781e-05,2.85344e-05,2.85606e-05,1891804110.4781
1712512260000,2.85606e-05,2.85675e-05,2.85139e-05,2.85213e-05,2341974825.6757
1712512320000,2.85213e-05,2.85575e-05,2.85105e-05,2.85238e-05,1786169424.3833
1712512380000,2.85238e-05,2.85291e-05,2.85034e-05,2.85212e-05,1750049865.4269
1712512440000,2.85212e-05,2.85212e-05,2.84805e-05,2.84935e-05,1317211355.1769
1712512500000,2.84935e-05,2.85023e-05,2.84575e-05,2.84682e-05,642299146.807
1712512560000,2.84682e-05,2.8512e-05,2.84583e-05,2.84887e-05,1116221702.2387
1712512620000,2.84887e-05,2.85225e-05,2.84699e-05,2.85002e-05,1254987215.3553
1712512680000,2.85002e-05,2.85202e-05,2.84776e-05,2.84911e-05,1534331224.7699
1712512740000,2.84911e-05,2.85314e-05,2.84827e-05,2.84961e-05,2171703647.2533
1712512800000,2.84961e-05,2.85386e-05,2.84943e-05,2.85067e-05,1970051390.4905
1712512860000,2.85067e-05,2.85583e-05,2.84679e-05,2.84707e-05,1403437344.6275
1712512920000,2.84707e-05,2.84802e-05,2.84361e-05,2.84423e-05,859652286.5109
1712512980000,2.84423e-05,2.84425e-05,2.83375e-05,2.83456e-05,1348202763.8665
1712513040000,2.83456e-05,2.8393e-05,2.83417e-05,2.83814e-05,1291598141.2644
1712513100000,2.83814e-05,2.83869e-05,2.83216e-05,2.83338e-05,1302493634.1392
1712513160000,2.83338e-05,2.83516e-05,2.83215e-05,2.83217e-05,1701116009.6705
1712513220000,2.83217e-05,2.83745e-05,2.83216e-05,2.83708e-05,1729437705.4455
1712513280000,2.83708e-05,2.84496e-05,2.83708e-05,2.84254e-05,1733223256.4902
1712513340000,2.84254e-05,2.8447e-05,2.84058e-05,2.84158e-05,1340404170.8854
1712513400000,2.84158e-05,2.84479e-05,2.83945e-05,2.84456e-05,1835162530.5622
1712513460000,2.84456e-05,2.84586e-05,2.83637e-05,2.84012e-05,1528105093.7219
1712513520000,2.84012e-05,2.84084e-05,2.83705e-05,2.83795e-05,2558618632.3462
1712513580000,2.83795e-05,2.83923e-05,2.83306e-05,2.83411e-05,1367645451.6889
1712513640000,2.83411e-05,2.83699e-05,2.83364e-05,2.83686e-05,1237650063.2813
1712513700000,2.83686e-05,2.83848e-05,2.83431e-05,2.83788e-05,1851045494.3395
1712513760000,2.83788e-05,2.84053e-05,2.83512e-05,2.83631e-05,1891111802.7416
1712513820000,2.83631e-05,2.83753e-05,2.8341e-05,2.83477e-05,1481988476.7137
1712513880000,2.83477e-05,2.83996e-05,2.83477e-05,2.83844e-05,1523214334.7233
1712513940000,2.83844e-05,2.83902e-05,2.83528e-05,2.83673e-05,1771925996.28
1712514000000,2.83673e-05,2.84047e-05,2.83609e-05,2.83922e-05,751535817.8007
1712514060000,2.83922e-05,2.84334e-05,2.83883e-05,2.84236e-05,472722910.7285
1712514120000,2.84236e-05,2.84302e-05,2.83788e-05,2.84145e-05,1030447327.1893
1712514180000,2.84145e-05,2.84396e-05,2.84069e-05,2.8409e-05,928180281.8402
1712514240000,2.8409e-05,2.84286e-05,2.83846e-05,2.8393e-05,946443271.9755
1712514300000,2.8393e-05,2.84043e-05,2.83708e-05,2.83884e-05,1314321325.379
1712514360000,2.83884e-05,2.83999e-05,2.8371e-05,2.8384e-05,1455052663.9423
1712514420000,2.8384e-05,2.84134e-05,2.83717e-05,2.83797e-05,1971723960.4486
1712514480000,2.83797e-05,2.84134e-05,2.83725e-05,2.84058e-05,1331707442.3016
1712514540000,2.84058e-05,2.84153e-05,2.83869e-05,2.83926e-05,634737783.5975
1712514600000,2.83926e-05,2.84009e-05,2.83563e-05,2.8383e-05,1097433373.8464
