date,open,high,low,close,volume
1712510400000,2.8734e-05,2.8734e-05,2.8734e-05,2.8734e-05,22620.0
1712510460000,2.8734e-05,2.8734e-05,2.8708e-05,2.8714e-05,3384711.934601
1712510520000,2.8714e-05,2.8733e-05,2.8714e-05,2.8733e-05,665354.563147
1712510580000,2.8733e-05,2.8733e-05,2.8713e-05,2.8713e-05,20880.0
1712510640000,2.8713e-05,2.8713e-05,2.8702e-05,2.8709e-05,19140.0
1712510700000,2.8709e-05,2.8709e-05,2.8709e-05,2.8709e-05,186229.075659
1712510760000,2.8709e-05,2.8709e-05,2.8686e-05,2.8695e-05,317950.014146
1712510820000,2.8695e-05,2.8695e-05,2.8681e-05,2.8681e-05,618106.139438
1712510880000,2.8681e-05,2.8681e-05,2.8681e-05,2.8681e-05,0.0
1712510940000,2.8681e-05,2.8681e-05,2.8681e-05,2.8681e-05,0.0
1712511000000,2.8681e-05,2.8681e-05,2.8681e-05,2.8681e-05,0.0
1712511060000,2.8681e-05,2.8681e-05,2.8659e-05,2.8659e-05,196486.843018
1712511120000,2.8659e-05,2.8659e-05,2.8659e-05,2.8659e-05,0.0
1712511180000,2.8659e-05,2.8659e-05,2.8651e-05,2.8651e-05,6984.0
1712511240000,2.8651e-05,2.8651e-05,2.8636e-05,2.8636e-05,13968.0
1712511300000,2.8636e-05,2.8639e-05,2.8636e-05,2.8639e-05,6984.0
1712511360000,2.8639e-05,2.8639e-05,2.8614e-05,2.8614e-05,17460.0
1712511420000,2.8614e-05,2.8638e-05,2.8614e-05,2.8615e-05,27936.0
1712511480000,2.8615e-05,2.8622e-05,2.8615e-05,2.8622e-05,20906.0
1712511540000,2.8622e-05,2.8622e-05,2.8597e-05,2.8597e-05,126687.569212
1712511600000,2.8597e-05,2.8597e-05,2.8566e-05,2.8566e-05,14016.0
1712511660000,2.8566e-05,2.8575e-05,2.8566e-05,2.8575e-05,15768.0
1712511720000,2.8575e-05,2.8575e-05,2.8553e-05,2.8553e-05,26280.0
1712511780000,2.8553e-05,2.8553e-05,2.8508e-05,2.8508e-05,28032.0
1712511840000,2.8508e-05,2.8547e-05,2.8508e-05,2.8547e-05,3452.0
1712511900000,2.8547e-05,2.8547e-05,2.8547e-05,2.8547e-05,0.0
1712511960000,2.8547e-05,2.8547e-05,2.8547e-05,2.8547e-05,0.0
1712512020000,2.8547e-05,2.8547e-05,2.8547e-05,2.8547e-05,0.0
1712512080000,2.8547e-05,2.8547e-05,2.8547e-05,2.8547e-05,0.0
1712512140000,2.8547e-05,2.8552e-05,2.8542e-05,2.8542e-05,14016.0
1712512200000,2.8542e-05,2.856e-05,2.8507e-05,2.8559e-05,3303809.831211
1712512260000,2.8559e-05,2.8559e-05,2.853e-05,2.853e-05,31536.0
1712512320000,2.853e-05,2.8546e-05,2.853e-05,2.8534e-05,6892741.47756
1712512380000,2.8534e-05,2.8534e-05,2.8516e-05,2.8516e-05,1417095.042255
1712512440000,2.8516e-05,2.8516e-05,2.8499e-05,2.8499e-05,24528.0
1712512500000,2.8499e-05,2.8499e-05,2.849e-05,2.849e-05,15774.0
1712512560000,2.849e-05,2.849e-05,2.8438e-05,2.8438e-05,2630200.499109
1712512620000,2.8438e-05,2.8438e-05,2.8438e-05,2.8438e-05,0.0
