date,open,high,low,close,volume
1712510400000,2.875e-05,2.876e-05,2.873e-05,2.875e-05,858553991.0
1712510460000,2.872e-05,2.872e-05,2.872e-05,2.872e-05,1613194.0
1712510520000,2.872e-05,2.872e-05,2.872e-05,2.872e-05,0.0
1712510580000,2.871e-05,2.871e-05,2.871e-05,2.871e-05,5726423.0
1712510640000,2.871e-05,2.872e-05,2.871e-05,2.872e-05,511714.0
1712510700000,2.872e-05,2.872e-05,2.872e-05,2.872e-05,24420966.5078
1712510760000,2.87e-05,2.87e-05,2.87e-05,2.87e-05,1873000.0
1712510820000,2.87e-05,2.87e-05,2.87e-05,2.87e-05,0.0
1712510880000,2.868e-05,2.868e-05,2.868e-05,2.868e-05,7396993.0
1712510940000,2.868e-05,2.868e-05,2.868e-05,2.868e-05,11566820.0
1712511000000,2.868e-05,2.868e-05,2.868e-05,2.868e-05,135080.0
1712511060000,2.868e-05,2.868e-05,2.868e-05,2.868e-05,3244180.0
1712511120000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,2841932.0
1712511180000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,0.0
1712511240000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,0.0
1712511300000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,0.0
1712511360000,2.861e-05,2.862e-05,2.861e-05,2.862e-05,80231294.40867
1712511420000,2.862e-05,2.862e-05,2.862e-05,2.862e-05,0.0
1712511480000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,32802368.78693
1712511540000,2.861e-05,2.861e-05,2.861e-05,2.861e-05,0.0
1712511600000,2.859e-05,2.859e-05,2.858e-05,2.858e-05,1023957.90902
1712511660000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,4256484.0
1712511720000,2.856e-05,2.856e-05,2.854e-05,2.854e-05,2468200.0
1712511780000,2.854e-05,2.854e-05,2.852e-05,2.852e-05,20075851.9655
1712511840000,2.853e-05,2.857e-05,2.853e-05,2.857e-05,267250021.36974
1712511900000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,0.0
1712511960000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,0.0
1712512020000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,0.0
1712512080000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,0.0
1712512140000,2.857e-05,2.857e-05,2.857e-05,2.857e-05,0.0
1712512200000,2.856e-05,2.857e-05,2.856e-05,2.857e-05,22706923.0
1712512260000,2.855e-05,2.855e-05,2.853e-05,2.853e-05,1235331.0
1712512320000,2.855e-05,2.855e-05,2.855e-05,2.855e-05,3556187.76671
1712512380000,2.853e-05,2.853e-05,2.852e-05,2.852e-05,790087.0
1712512440000,2.852e-05,2.852e-05,2.852e-05,2.852e-05,798719.434
1712512500000,2.851e-05,2.851e-05,2.849e-05,2.849e-05,5645095.23604
1712512560000,2.849e-05,2.849e-05,2.849e-05,2.849e-05,0.0
1712512620000,2.849e-05,2.849e-05,2.849e-05,2.849e-05,0.0
1712512680000,2.851e-05,2.851e-05,2.851e-05,2.851e-05,21460672.46844
1712512740000,2.851e-05,2.851e-05,2.851e-05,2.851e-05,3620266.0
1712512800000,2.851e-05,2.851e-05,2.851e-05,2.851e-05,0.0
1712512860000,2.851e-05,2.853e-05,2.851e-05,2.853e-05,3814707.08792
1712512920000,2.848e-05,2.848e-05,2.844e-05,2.845e-05,34495714.87778
