Amount,Date,Price,TID,Type
573.00,1710628661,0.14403,327760017,0
2338.89,1710628652,0.14382,327759957,0
5194.23,1710628341,0.14367,327759006,0
139.65,1710628319,0.14342,327758939,0
180.00,1710628026,0.14314,327758288,0
343.35,1710627979,0.14312,327758151,0
173.03,1710627965,0.14287,327758112,0
4245.58,1710627934,0.14263,327757938,0
547.66,1710627891,0.14278,327757818,0
140.19,1710627891,0.14277,327757817,0
701.76,1710627546,0.14193,327756890,0
5017.88,1710627359,0.14214,327756460,1
4734.15,1710627359,0.14214,327756459,1
429.01,1710626968,0.14162,327755559,0
1764.41,1710626841,0.14140,327755084,1
4207.44,1710626773,0.14195,327754910,1
5454.09,1710626748,0.14188,327754841,0
7909.29,1710626748,0.14188,327754839,0
5769.86,1710626748,0.14188,327754838,0
1765.41,1710626721,0.14196,327754769,1
1763.41,1710626601,0.14143,327754381,0
7468.99,1710626543,0.14177,327754157,1
4039.87,1710626543,0.14177,327754156,1
4878.79,1710626540,0.14184,327754143,1
130.00,1710626483,0.14177,327754002,1
140.32,1710626412,0.14233,327753736,1
139.67,1710626134,0.14324,327753128,0
139.52,1710626125,0.14302,327753114,0
161.00,1710625454,0.14278,327751856,0
