Trade ID,Trade Time,Trade Timestamp (Milliseconds),Trade Timestamp (Nanoseconds),Quantity,Price,Side,Instrument Name
1710615586968021897,2024-03-16 14:59:46,1710615586968,1710615586968021897,10,0.143173,sell,DOGEUSD-PERP
1710615569968054469,2024-03-16 14:59:29,1710615569968,1710615569968054469,10,0.142884,sell,DOGEUSD-PERP
1710615530768052506,2024-03-16 14:58:50,1710615530768,1710615530768052506,10,0.142457,buy,DOGEUSD-PERP
1710615513068125298,2024-03-16 14:58:33,1710615513068,1710615513068125298,10,0.142223,buy,DOGEUSD-PERP
1710615494968234583,2024-03-16 14:58:14,1710615494968,1710615494968234583,10,0.142611,sell,DOGEUSD-PERP
1710615473367988689,2024-03-16 14:57:53,1710615473367,1710615473367988689,10,0.142129,sell,DOGEUSD-PERP
1710615455768248637,2024-03-16 14:57:35,1710615455768,1710615455768248637,10,0.142048,buy,DOGEUSD-PERP
1710615413868349777,2024-03-16 14:56:53,1710615413868,1710615413868349777,10,0.141382,sell,DOGEUSD-PERP
1710615379467981635,2024-03-16 14:56:19,1710615379467,1710615379467981635,10,0.141501,sell,DOGEUSD-PERP
1710615362867975331,2024-03-16 14:56:02,1710615362867,1710615362867975331,10,0.140696,sell,DOGEUSD-PERP
1710615324068074623,2024-03-16 14:55:24,1710615324068,1710615324068074623,10,0.140461,buy,DOGEUSD-PERP
1710615291649824096,2024-03-16 14:54:51,1710615291649,1710615291649824096,1950,0.140320,sell,DOGEUSD-PERP
1710615291178127377,2024-03-16 14:54:51,1710615291178,1710615291178127377,10,0.140566,buy,DOGEUSD-PERP
1710615250268256406,2024-03-16 14:54:10,1710615250268,1710615250268256406,10,0.141288,sell,DOGEUSD-PERP
1710615218268038034,2024-03-16 14:53:38,1710615218268,1710615218268038034,10,0.141218,buy,DOGEUSD-PERP
1710615192870281059,2024-03-16 14:53:12,1710615192870,1710615192870281059,10,0.141316,sell,DOGEUSD-PERP
1710615167082486932,2024-03-16 14:52:47,1710615167082,1710615167082486932,10,0.141397,buy,DOGEUSD-PERP
1710615129768827648,2024-03-16 14:52:09,1710615129768,1710615129768827648,10,0.141990,sell,DOGEUSD-PERP
1710615092875116757,2024-03-16 14:51:32,1710615092875,1710615092875116757,10,0.142458,sell,DOGEUSD-PERP
